|dates|Lafayette_Missouri_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Missouri_UnitedStates.NYT_ConfirmedCases.data|Lafayette_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Lafayette_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4573.0|0|4573.0|0|73.0|0|0.0|100
0|2021-10-18|4576.0|0|4576.0|0|73.0|0|0.0|100
0|2021-10-19|4588.0|0|4588.0|0|73.0|0|0.0|100
0|2021-10-20|4598.0|0|4598.0|0|73.0|0|0.0|100
0|2021-10-21|4602.0|0|4602.0|0|73.0|0|0.0|100
0|2021-10-22|4613.0|0|4613.0|0|73.0|0|0.0|100
0|2021-10-23|4626.0|0|4626.0|0|73.0|0|0.0|100
0|2021-10-24|4632.0|0|4632.0|0|73.0|0|0.0|100
0|2021-10-25|4636.0|0|4636.0|0|73.0|0|0.0|100
0|2021-10-26|4648.0|0|4648.0|0|73.0|0|0.0|100
0|2021-10-27|4659.0|0|4659.0|0|73.0|0|0.0|100
0|2021-10-28|4672.0|0|4672.0|0|73.0|0|0.0|100
0|2021-10-29|4678.0|0|4678.0|0|73.0|0|0.0|100
0|2021-10-30|4682.0|0|4682.0|0|73.0|0|0.0|100
0|2021-10-31|4686.0|0|4686.0|0|73.0|0|0.0|100
0|2021-11-01|4686.0|0|4686.0|0|73.0|0|0.0|100
0|2021-11-02|4691.0|0|4691.0|0|74.0|0|0.0|100
0|2021-11-03|4704.0|0|4704.0|0|74.0|0|0.0|100
0|2021-11-04|4708.0|0|4708.0|0|74.0|0|0.0|100
0|2021-11-05|4725.0|0|4725.0|0|74.0|0|0.0|100
0|2021-11-06|4734.0|0|4734.0|0|74.0|0|0.0|100
0|2021-11-07|4739.0|0|4739.0|0|74.0|0|0.0|100
0|2021-11-08|4746.0|0|4746.0|0|74.0|0|0.0|100
0|2021-11-09|4754.0|0|4754.0|0|74.0|0|0.0|100
0|2021-11-10|4754.0|0|4757.0|0|74.0|0|0.0|100
0|2021-11-11|4757.0|0|4757.0|0|74.0|0|0.0|100
0|2021-11-12|4789.0|0|4789.0|0|74.0|0|0.0|100
0|2021-11-13|4801.0|0|4801.0|0|74.0|0|0.0|100
0|2021-11-14|4813.0|0|4813.0|0|74.0|0|0.0|100
0|2021-11-15|4823.0|0|4823.0|0|74.0|0|0.0|100
0|2021-11-16|4828.0|0|4828.0|0|74.0|0|0.0|100
0|2021-11-17|4843.0|0|4843.0|0|74.0|0|0.0|100
0|2021-11-18|4888.0|0|4888.0|0|74.0|0|0.0|100
0|2021-11-19|4904.0|0|4904.0|0|74.0|0|0.0|100
0|2021-11-20|4912.0|0|4912.0|0|74.0|0|0.0|100
0|2021-11-21|4918.0|0|4918.0|0|74.0|0|0.0|100
0|2021-11-22|4924.0|0|4924.0|0|74.0|0|0.0|100
0|2021-11-23|4933.0|0|4933.0|0|77.0|0|0.0|100
0|2021-11-24|4944.0|0|4944.0|0|77.0|0|0.0|100
0|2021-11-25|4944.0|0|4944.0|0|77.0|0|0.0|100
0|2021-11-26|4944.0|0|4944.0|0|77.0|0|0.0|100
0|2021-11-27|4944.0|0|4944.0|0|77.0|0|0.0|100
0|2021-11-28|4944.0|0|4944.0|0|77.0|0|0.0|100
0|2021-11-29|4979.0|0|4979.0|0|77.0|0|0.0|100
0|2021-11-30|4997.0|0|4997.0|0|77.0|0|0.0|100
0|2021-12-01|5016.0|0|5016.0|0|77.0|0|0.0|100
0|2021-12-02|5016.0|0|5046.0|0|77.0|0|0.0|100
0|2021-12-03|5046.0|0|5046.0|0|88.0|0|0.0|100
0|2021-12-04|5087.0|0|5087.0|0|88.0|0|0.0|100
0|2021-12-05|5091.0|0|5091.0|0|88.0|0|0.0|100
0|2021-12-06|5121.0|0|5121.0|0|88.0|0|0.0|100
0|2021-12-07|5129.0|0|5129.0|0|87.0|0|0.0|100
0|2021-12-08|5160.0|0|5160.0|0|87.0|0|0.0|100
0|2021-12-09|5192.0|0|5192.0|0|87.0|0|0.0|100
0|2021-12-10|5211.0|0|5211.0|0|89.0|0|0.0|100
0|2021-12-11|5236.0|0|5236.0|0|89.0|0|0.0|100
0|2021-12-12|5254.0|0|5254.0|0|89.0|0|0.0|100
0|2021-12-13|5264.0|0|5264.0|0|89.0|0|0.0|100
0|2021-12-14|5264.0|0|5295.0|0|89.0|0|0.0|100
0|2021-12-15|5321.0|0|5321.0|0|91.0|0|0.0|100
