|dates|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Davidson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Davidson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|25347.0|0|25347.0|0|296.0|0|0.0|100
0|2021-10-18|25458.0|0|25458.0|0|297.0|0|0.0|100
0|2021-10-19|25478.0|0|25478.0|0|300.0|0|0.0|100
0|2021-10-20|25517.0|0|25517.0|0|301.0|0|0.0|100
0|2021-10-21|25564.0|0|25564.0|0|304.0|0|0.0|100
0|2021-10-22|25605.0|0|25605.0|0|304.0|0|0.0|100
0|2021-10-23|25605.0|0|25605.0|0|304.0|0|0.0|100
0|2021-10-24|25605.0|0|25605.0|0|304.0|0|0.0|100
0|2021-10-25|25665.0|0|25665.0|0|305.0|0|0.0|100
0|2021-10-26|25679.0|0|25679.0|0|306.0|0|0.0|100
0|2021-10-27|25710.0|0|25710.0|0|307.0|0|0.0|100
0|2021-10-28|25746.0|0|25746.0|0|307.0|0|0.0|100
0|2021-10-29|25786.0|0|25786.0|0|308.0|0|0.0|100
0|2021-10-30|25786.0|0|25786.0|0|308.0|0|0.0|100
0|2021-10-31|25786.0|0|25786.0|0|308.0|0|0.0|100
0|2021-11-01|25878.0|0|25878.0|0|309.0|0|0.0|100
0|2021-11-02|25890.0|0|25890.0|0|310.0|0|0.0|100
0|2021-11-03|25910.0|0|25910.0|0|310.0|0|0.0|100
0|2021-11-04|25937.0|0|25937.0|0|311.0|0|0.0|100
0|2021-11-05|25965.0|0|25965.0|0|311.0|0|0.0|100
0|2021-11-06|25965.0|0|25965.0|0|311.0|0|0.0|100
0|2021-11-07|25965.0|0|25965.0|0|311.0|0|0.0|100
