|dates|SantaRosa_Florida_UnitedStates.JHU_ConfirmedCases.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedCases.missing|SantaRosa_Florida_UnitedStates.NYT_ConfirmedCases.data|SantaRosa_Florida_UnitedStates.NYT_ConfirmedCases.missing|SantaRosa_Florida_UnitedStates.JHU_ConfirmedDeaths.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|SantaRosa_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|SantaRosa_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|32425.0|0|32164.0|0|291.0|0|0.0|100
0|2021-10-18|32425.0|0|32164.0|0|291.0|0|0.0|100
0|2021-10-19|32425.0|0|32164.0|0|291.0|0|0.0|100
0|2021-10-20|32425.0|0|32164.0|0|291.0|0|0.0|100
0|2021-10-21|32425.0|0|32164.0|0|291.0|0|0.0|100
0|2021-10-22|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-23|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-24|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-25|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-26|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-27|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-28|32571.0|0|32310.0|0|291.0|0|0.0|100
0|2021-10-29|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-10-30|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-10-31|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-11-01|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-11-02|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-11-03|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-11-04|32642.0|0|32381.0|0|291.0|0|0.0|100
0|2021-11-05|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-06|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-07|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-08|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-09|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-10|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-11|32721.0|0|32460.0|0|291.0|0|0.0|100
0|2021-11-12|32791.0|0|32530.0|0|291.0|0|0.0|100
0|2021-11-13|32791.0|0|32530.0|0|291.0|0|0.0|100
0|2021-11-14|32791.0|0|32530.0|0|291.0|0|0.0|100
