|dates|Boulder_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Boulder_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Boulder_Colorado_UnitedStates.Male_Total_Population.data|Boulder_Colorado_UnitedStates.Male_Total_Population.missing|Boulder_Colorado_UnitedStates.Female_Total_Population.data|Boulder_Colorado_UnitedStates.Female_Total_Population.missing|Boulder_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Boulder_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-18|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-19|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-20|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-21|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-22|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-23|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-24|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-25|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-26|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-27|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-28|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-29|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-30|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-10-31|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-01|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-02|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-03|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-04|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-05|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-06|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-07|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-08|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-09|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-10|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-11|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-12|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-13|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-14|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-15|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-16|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-17|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-18|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-19|46486.0|0|164069.0|0|162009.0|0|61951.0|0
0|2021-11-20|46486.0|0|164069.0|0|162009.0|0|61951.0|0
