|dates|Washington_Missouri_UnitedStates.JHU_ConfirmedCases.data|Washington_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Washington_Missouri_UnitedStates.NYT_ConfirmedCases.data|Washington_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Washington_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3892.0|0|3892.0|0|65.0|0|0.0|100
0|2021-10-18|3896.0|0|3896.0|0|65.0|0|0.0|100
0|2021-10-19|3896.0|0|3896.0|0|65.0|0|0.0|100
0|2021-10-20|3901.0|0|3901.0|0|66.0|0|0.0|100
0|2021-10-21|3904.0|0|3904.0|0|66.0|0|0.0|100
0|2021-10-22|3913.0|0|3913.0|0|66.0|0|0.0|100
0|2021-10-23|3913.0|0|3913.0|0|66.0|0|0.0|100
0|2021-10-24|3914.0|0|3914.0|0|66.0|0|0.0|100
0|2021-10-25|3915.0|0|3915.0|0|66.0|0|0.0|100
0|2021-10-26|3917.0|0|3917.0|0|66.0|0|0.0|100
0|2021-10-27|3924.0|0|3924.0|0|67.0|0|0.0|100
0|2021-10-28|3929.0|0|3929.0|0|67.0|0|0.0|100
0|2021-10-29|3936.0|0|3936.0|0|67.0|0|0.0|100
0|2021-10-30|3939.0|0|3939.0|0|67.0|0|0.0|100
0|2021-10-31|3942.0|0|3942.0|0|67.0|0|0.0|100
0|2021-11-01|3944.0|0|3944.0|0|67.0|0|0.0|100
0|2021-11-02|3949.0|0|3949.0|0|67.0|0|0.0|100
0|2021-11-03|3951.0|0|3951.0|0|67.0|0|0.0|100
0|2021-11-04|3957.0|0|3957.0|0|67.0|0|0.0|100
0|2021-11-05|3966.0|0|3966.0|0|67.0|0|0.0|100
0|2021-11-06|3968.0|0|3968.0|0|68.0|0|0.0|100
0|2021-11-07|3972.0|0|3972.0|0|68.0|0|0.0|100
0|2021-11-08|3974.0|0|3974.0|0|68.0|0|0.0|100
0|2021-11-09|3978.0|0|3978.0|0|70.0|0|0.0|100
0|2021-11-10|3982.0|0|3982.0|0|70.0|0|0.0|100
0|2021-11-11|3982.0|0|3982.0|0|70.0|0|0.0|100
0|2021-11-12|3994.0|0|3994.0|0|70.0|0|0.0|100
0|2021-11-13|3999.0|0|3999.0|0|70.0|0|0.0|100
0|2021-11-14|4007.0|0|4007.0|0|70.0|0|0.0|100
0|2021-11-15|4009.0|0|4009.0|0|70.0|0|0.0|100
0|2021-11-16|4017.0|0|4017.0|0|70.0|0|0.0|100
0|2021-11-17|4023.0|0|4023.0|0|70.0|0|0.0|100
0|2021-11-18|4085.0|0|4085.0|0|70.0|0|0.0|100
0|2021-11-19|4095.0|0|4095.0|0|70.0|0|0.0|100
0|2021-11-20|4102.0|0|4102.0|0|70.0|0|0.0|100
0|2021-11-21|4103.0|0|4103.0|0|70.0|0|0.0|100
0|2021-11-22|4105.0|0|4105.0|0|70.0|0|0.0|100
0|2021-11-23|4110.0|0|4110.0|0|71.0|0|0.0|100
0|2021-11-24|4117.0|0|4117.0|0|71.0|0|0.0|100
0|2021-11-25|4117.0|0|4117.0|0|71.0|0|0.0|100
