|dates|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedCases.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedCases.missing|BuenaVista_Virginia_UnitedStates.NYT_ConfirmedCases.data|BuenaVista_Virginia_UnitedStates.NYT_ConfirmedCases.missing|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1261.0|0|1261.0|0|23.0|0|0.0|100
0|2021-10-18|1272.0|0|1272.0|0|24.0|0|0.0|100
0|2021-10-19|1270.0|0|1270.0|0|24.0|0|0.0|100
0|2021-10-20|1276.0|0|1276.0|0|24.0|0|0.0|100
0|2021-10-21|1279.0|0|1279.0|0|24.0|0|0.0|100
0|2021-10-22|1282.0|0|1282.0|0|24.0|0|0.0|100
0|2021-10-23|1282.0|0|1282.0|0|24.0|0|0.0|100
0|2021-10-24|1282.0|0|1282.0|0|24.0|0|0.0|100
0|2021-10-25|1297.0|0|1297.0|0|25.0|0|0.0|100
0|2021-10-26|1303.0|0|1303.0|0|25.0|0|0.0|100
0|2021-10-27|1311.0|0|1311.0|0|25.0|0|0.0|100
0|2021-10-28|1313.0|0|1313.0|0|25.0|0|0.0|100
0|2021-10-29|1321.0|0|1321.0|0|25.0|0|0.0|100
0|2021-10-30|1321.0|0|1321.0|0|25.0|0|0.0|100
0|2021-10-31|1321.0|0|1321.0|0|25.0|0|0.0|100
0|2021-11-01|1329.0|0|1329.0|0|27.0|0|0.0|100
0|2021-11-02|1332.0|0|1332.0|0|27.0|0|0.0|100
0|2021-11-03|1334.0|0|1334.0|0|27.0|0|0.0|100
0|2021-11-04|1338.0|0|1338.0|0|27.0|0|0.0|100
0|2021-11-05|1339.0|0|1339.0|0|27.0|0|0.0|100
0|2021-11-06|1339.0|0|1339.0|0|27.0|0|0.0|100
0|2021-11-07|1339.0|0|1339.0|0|27.0|0|0.0|100
0|2021-11-08|1353.0|0|1353.0|0|27.0|0|0.0|100
0|2021-11-09|1355.0|0|1355.0|0|27.0|0|0.0|100
0|2021-11-10|1363.0|0|1363.0|0|27.0|0|0.0|100
0|2021-11-11|1367.0|0|1367.0|0|27.0|0|0.0|100
0|2021-11-12|1373.0|0|1373.0|0|28.0|0|0.0|100
0|2021-11-13|1373.0|0|1373.0|0|28.0|0|0.0|100
0|2021-11-14|1373.0|0|1373.0|0|28.0|0|0.0|100
0|2021-11-15|1382.0|0|1382.0|0|28.0|0|0.0|100
0|2021-11-16|1382.0|0|1382.0|0|28.0|0|0.0|100
0|2021-11-17|1387.0|0|1387.0|0|28.0|0|0.0|100
0|2021-11-18|1394.0|0|1394.0|0|28.0|0|0.0|100
0|2021-11-19|1396.0|0|1396.0|0|28.0|0|0.0|100
0|2021-11-20|1396.0|0|1396.0|0|28.0|0|0.0|100
0|2021-11-21|1396.0|0|1396.0|0|28.0|0|0.0|100
0|2021-11-22|1401.0|0|1401.0|0|28.0|0|0.0|100
0|2021-11-23|1404.0|0|1404.0|0|28.0|0|0.0|100
0|2021-11-24|1411.0|0|1411.0|0|28.0|0|0.0|100
0|2021-11-25|1412.0|0|1412.0|0|28.0|0|0.0|100
0|2021-11-26|1414.0|0|1414.0|0|28.0|0|0.0|100
0|2021-11-27|1414.0|0|1414.0|0|28.0|0|0.0|100
0|2021-11-28|1414.0|0|1414.0|0|28.0|0|0.0|100
0|2021-11-29|1419.0|0|1419.0|0|28.0|0|0.0|100
0|2021-11-30|1420.0|0|1420.0|0|28.0|0|0.0|100
0|2021-12-01|1423.0|0|1423.0|0|28.0|0|0.0|100
0|2021-12-02|1429.0|0|1429.0|0|28.0|0|0.0|100
0|2021-12-03|1433.0|0|1433.0|0|28.0|0|0.0|100
0|2021-12-04|1433.0|0|1433.0|0|28.0|0|0.0|100
0|2021-12-05|1433.0|0|1433.0|0|28.0|0|0.0|100
0|2021-12-06|1445.0|0|1445.0|0|28.0|0|0.0|100
0|2021-12-07|1444.0|0|1444.0|0|28.0|0|0.0|100
0|2021-12-08|1449.0|0|1449.0|0|29.0|0|0.0|100
0|2021-12-09|1455.0|0|1455.0|0|30.0|0|0.0|100
0|2021-12-10|1455.0|0|1455.0|0|31.0|0|0.0|100
0|2021-12-11|1455.0|0|1455.0|0|31.0|0|0.0|100
0|2021-12-12|1455.0|0|1455.0|0|31.0|0|0.0|100
0|2021-12-13|1461.0|0|1461.0|0|31.0|0|0.0|100
0|2021-12-14|1461.0|0|1462.0|0|31.0|0|0.0|100
0|2021-12-15|1465.0|0|1465.0|0|31.0|0|0.0|100
0|2021-12-16|1466.0|0|1466.0|0|31.0|0|0.0|100
0|2021-12-17|1468.0|0|1468.0|0|31.0|0|0.0|100
0|2021-12-18|1468.0|0|1468.0|0|31.0|0|0.0|100
0|2021-12-19|1468.0|0|1468.0|0|31.0|0|0.0|100
0|2021-12-20|1475.0|0|1475.0|0|32.0|0|0.0|100
0|2021-12-21|1477.0|0|1477.0|0|32.0|0|0.0|100
0|2021-12-22|1480.0|0|1480.0|0|32.0|0|0.0|100
0|2021-12-23|1482.0|0|1482.0|0|32.0|0|0.0|100
0|2021-12-24|1484.0|0|1484.0|0|32.0|0|0.0|100
0|2021-12-25|1484.0|0|1484.0|0|32.0|0|0.0|100
0|2021-12-26|1484.0|0|1484.0|0|32.0|0|0.0|100
0|2021-12-27|1488.0|0|1488.0|0|33.0|0|0.0|100
0|2021-12-28|1491.0|0|1491.0|0|33.0|0|0.0|100
0|2021-12-29|1496.0|0|1496.0|0|33.0|0|0.0|100
