|dates|Erie_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Erie_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Erie_NewYork_UnitedStates.Male_Total_Population.data|Erie_NewYork_UnitedStates.Male_Total_Population.missing|Erie_NewYork_UnitedStates.Female_Total_Population.data|Erie_NewYork_UnitedStates.Female_Total_Population.missing|Erie_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Erie_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-18|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-19|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-20|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-21|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-22|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-23|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-24|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-25|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-26|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-27|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-28|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-29|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-30|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-10-31|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-01|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-02|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-03|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-04|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-05|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-06|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-07|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-08|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-09|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-10|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-11|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-12|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-13|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-14|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-15|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-16|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-17|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-18|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-19|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-20|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-21|165052.0|0|444942.0|0|474777.0|0|186092.0|0
