|dates|Henry_Indiana_UnitedStates.JHU_ConfirmedCases.data|Henry_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Henry_Indiana_UnitedStates.NYT_ConfirmedCases.data|Henry_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Henry_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8107.0|0|8125.0|0|150.0|0|0.0|100
0|2021-10-18|8139.0|0|8157.0|0|151.0|0|0.0|100
0|2021-10-19|8154.0|0|8172.0|0|152.0|0|0.0|100
0|2021-10-20|8174.0|0|8192.0|0|152.0|0|0.0|100
0|2021-10-21|8200.0|0|8218.0|0|152.0|0|0.0|100
0|2021-10-22|8229.0|0|8247.0|0|152.0|0|0.0|100
0|2021-10-23|8229.0|0|8247.0|0|152.0|0|0.0|100
0|2021-10-24|8229.0|0|8247.0|0|152.0|0|0.0|100
0|2021-10-25|8252.0|0|8270.0|0|153.0|0|0.0|100
0|2021-10-26|8265.0|0|8283.0|0|155.0|0|0.0|100
0|2021-10-27|8287.0|0|8305.0|0|155.0|0|0.0|100
0|2021-10-28|8306.0|0|8324.0|0|155.0|0|0.0|100
0|2021-10-29|8319.0|0|8337.0|0|155.0|0|0.0|100
0|2021-10-30|8319.0|0|8337.0|0|155.0|0|0.0|100
0|2021-10-31|8319.0|0|8337.0|0|155.0|0|0.0|100
0|2021-11-01|8343.0|0|8361.0|0|155.0|0|0.0|100
0|2021-11-02|8356.0|0|8374.0|0|156.0|0|0.0|100
0|2021-11-03|8372.0|0|8390.0|0|156.0|0|0.0|100
0|2021-11-04|8389.0|0|8407.0|0|156.0|0|0.0|100
0|2021-11-05|8408.0|0|8426.0|0|158.0|0|0.0|100
0|2021-11-06|8408.0|0|8426.0|0|158.0|0|0.0|100
0|2021-11-07|8408.0|0|8426.0|0|158.0|0|0.0|100
