|dates|Douglas_Oregon_UnitedStates.JHU_ConfirmedCases.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Oregon_UnitedStates.NYT_ConfirmedCases.data|Douglas_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11795.0|0|11795.0|0|240.0|0|0.0|100
0|2021-10-18|11918.0|0|11918.0|0|241.0|0|0.0|100
0|2021-10-19|11962.0|0|11962.0|0|243.0|0|0.0|100
0|2021-10-20|12019.0|0|12019.0|0|243.0|0|0.0|100
0|2021-10-21|12065.0|0|12065.0|0|243.0|0|0.0|100
0|2021-10-22|12118.0|0|12118.0|0|243.0|0|0.0|100
0|2021-10-23|12118.0|0|12118.0|0|243.0|0|0.0|100
0|2021-10-24|12118.0|0|12118.0|0|243.0|0|0.0|100
0|2021-10-25|12196.0|0|12196.0|0|250.0|0|0.0|100
0|2021-10-26|12237.0|0|12237.0|0|251.0|0|0.0|100
0|2021-10-27|12294.0|0|12294.0|0|251.0|0|0.0|100
0|2021-10-28|12349.0|0|12349.0|0|254.0|0|0.0|100
0|2021-10-29|12377.0|0|12377.0|0|255.0|0|0.0|100
0|2021-10-30|12377.0|0|12377.0|0|255.0|0|0.0|100
0|2021-10-31|12377.0|0|12377.0|0|255.0|0|0.0|100
0|2021-11-01|12445.0|0|12445.0|0|255.0|0|0.0|100
0|2021-11-02|12488.0|0|12488.0|0|255.0|0|0.0|100
0|2021-11-03|12529.0|0|12529.0|0|256.0|0|0.0|100
0|2021-11-04|12581.0|0|12581.0|0|261.0|0|0.0|100
0|2021-11-05|12622.0|0|12622.0|0|263.0|0|0.0|100
0|2021-11-06|12622.0|0|12622.0|0|263.0|0|0.0|100
0|2021-11-07|12622.0|0|12622.0|0|263.0|0|0.0|100
0|2021-11-08|12682.0|0|12682.0|0|263.0|0|0.0|100
0|2021-11-09|12724.0|0|12724.0|0|265.0|0|0.0|100
0|2021-11-10|12772.0|0|12772.0|0|274.0|0|0.0|100
0|2021-11-11|12772.0|0|12772.0|0|274.0|0|0.0|100
0|2021-11-12|12856.0|0|12856.0|0|275.0|0|0.0|100
0|2021-11-13|12856.0|0|12856.0|0|275.0|0|0.0|100
0|2021-11-14|12856.0|0|12856.0|0|275.0|0|0.0|100
0|2021-11-15|12915.0|0|12915.0|0|275.0|0|0.0|100
0|2021-11-16|12935.0|0|12935.0|0|276.0|0|0.0|100
0|2021-11-17|12969.0|0|12969.0|0|277.0|0|0.0|100
0|2021-11-18|13041.0|0|13041.0|0|277.0|0|0.0|100
0|2021-11-19|13101.0|0|13101.0|0|280.0|0|0.0|100
0|2021-11-20|13101.0|0|13101.0|0|280.0|0|0.0|100
0|2021-11-21|13101.0|0|13101.0|0|280.0|0|0.0|100
0|2021-11-22|13158.0|0|13158.0|0|284.0|0|0.0|100
0|2021-11-23|13199.0|0|13199.0|0|285.0|0|0.0|100
0|2021-11-24|13236.0|0|13236.0|0|286.0|0|0.0|100
0|2021-11-25|13236.0|0|13236.0|0|286.0|0|0.0|100
0|2021-11-26|13236.0|0|13236.0|0|286.0|0|0.0|100
0|2021-11-27|13236.0|0|13236.0|0|286.0|0|0.0|100
0|2021-11-28|13236.0|0|13236.0|0|286.0|0|0.0|100
0|2021-11-29|13323.0|0|13323.0|0|287.0|0|0.0|100
0|2021-11-30|13375.0|0|13375.0|0|291.0|0|0.0|100
0|2021-12-01|13438.0|0|13438.0|0|292.0|0|0.0|100
0|2021-12-02|13479.0|0|13479.0|0|293.0|0|0.0|100
0|2021-12-03|13523.0|0|13523.0|0|293.0|0|0.0|100
0|2021-12-04|13523.0|0|13523.0|0|293.0|0|0.0|100
0|2021-12-05|13523.0|0|13523.0|0|293.0|0|0.0|100
0|2021-12-06|13608.0|0|13608.0|0|295.0|0|0.0|100
0|2021-12-07|13635.0|0|13635.0|0|295.0|0|0.0|100
0|2021-12-08|13690.0|0|13690.0|0|298.0|0|0.0|100
0|2021-12-09|13738.0|0|13738.0|0|300.0|0|0.0|100
0|2021-12-10|13778.0|0|13778.0|0|301.0|0|0.0|100
0|2021-12-11|13778.0|0|13778.0|0|301.0|0|0.0|100
0|2021-12-12|13778.0|0|13778.0|0|301.0|0|0.0|100
0|2021-12-13|13823.0|0|13823.0|0|305.0|0|0.0|100
0|2021-12-14|13823.0|0|13862.0|0|305.0|0|0.0|100
0|2021-12-15|13823.0|0|13911.0|0|309.0|0|0.0|100
0|2021-12-16|13937.0|0|13937.0|0|309.0|0|0.0|100
0|2021-12-17|13955.0|0|13955.0|0|310.0|0|0.0|100
