|dates|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Genesee_Michigan_UnitedStates.Male_Total_Population.data|Genesee_Michigan_UnitedStates.Male_Total_Population.missing|Genesee_Michigan_UnitedStates.Female_Total_Population.data|Genesee_Michigan_UnitedStates.Female_Total_Population.missing|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-18|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-19|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-20|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-21|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-22|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-23|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-24|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-25|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-26|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-27|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-28|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-29|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-30|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-10-31|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-01|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-02|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-03|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-04|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-05|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-06|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-07|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-08|71136.0|0|196242.0|0|210650.0|0|91550.0|0
