|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-10-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-09|826.0|0|1627.0|0|1635.0|0|715.0|0
