|dates|Columbia_Washington_UnitedStates.BLS_EmployedPopulation.data|Columbia_Washington_UnitedStates.BLS_EmployedPopulation.missing|Columbia_Washington_UnitedStates.BLS_UnemployedPopulation.data|Columbia_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Columbia_Washington_UnitedStates.BLS_UnemploymentRate.data|Columbia_Washington_UnitedStates.BLS_UnemploymentRate.missing|Columbia_Washington_UnitedStates.BLS_LaborForcePopulation.data|Columbia_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-18|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-19|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-20|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-21|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-22|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-23|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-24|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-25|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-26|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-27|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-28|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-29|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-30|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-10-31|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-01|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-02|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-03|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-04|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-05|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-06|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-07|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-08|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-09|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-10|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-11|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-12|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-13|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-14|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-15|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-16|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-17|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-18|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-19|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
0|2021-11-20|1663.0|0|87.0|0|4.9714285714285715|0|1750.0|0
