|dates|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Marion_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Marion_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5384.0|0|5384.0|0|136.0|0|0.0|100
0|2021-10-18|5403.0|0|5403.0|0|136.0|0|0.0|100
0|2021-10-19|5410.0|0|5410.0|0|136.0|0|0.0|100
0|2021-10-20|5406.0|0|5406.0|0|136.0|0|0.0|100
0|2021-10-21|5418.0|0|5418.0|0|137.0|0|0.0|100
0|2021-10-22|5423.0|0|5423.0|0|137.0|0|0.0|100
0|2021-10-23|5423.0|0|5423.0|0|137.0|0|0.0|100
0|2021-10-24|5423.0|0|5423.0|0|137.0|0|0.0|100
0|2021-10-25|5426.0|0|5426.0|0|138.0|0|0.0|100
0|2021-10-26|5428.0|0|5428.0|0|138.0|0|0.0|100
0|2021-10-27|5429.0|0|5429.0|0|138.0|0|0.0|100
0|2021-10-28|5431.0|0|5431.0|0|139.0|0|0.0|100
0|2021-10-29|5441.0|0|5441.0|0|139.0|0|0.0|100
0|2021-10-30|5441.0|0|5441.0|0|139.0|0|0.0|100
0|2021-10-31|5441.0|0|5441.0|0|139.0|0|0.0|100
0|2021-11-01|5460.0|0|5460.0|0|139.0|0|0.0|100
0|2021-11-02|5463.0|0|5463.0|0|140.0|0|0.0|100
0|2021-11-03|5467.0|0|5467.0|0|140.0|0|0.0|100
0|2021-11-04|5475.0|0|5475.0|0|140.0|0|0.0|100
0|2021-11-05|5478.0|0|5478.0|0|140.0|0|0.0|100
0|2021-11-06|5478.0|0|5478.0|0|140.0|0|0.0|100
0|2021-11-07|5478.0|0|5478.0|0|140.0|0|0.0|100
0|2021-11-08|5485.0|0|5485.0|0|140.0|0|0.0|100
0|2021-11-09|5496.0|0|5496.0|0|140.0|0|0.0|100
0|2021-11-10|5498.0|0|5498.0|0|141.0|0|0.0|100
0|2021-11-11|5498.0|0|5498.0|0|141.0|0|0.0|100
0|2021-11-12|5508.0|0|5508.0|0|141.0|0|0.0|100
0|2021-11-13|5508.0|0|5508.0|0|141.0|0|0.0|100
0|2021-11-14|5508.0|0|5508.0|0|141.0|0|0.0|100
0|2021-11-15|5510.0|0|5510.0|0|141.0|0|0.0|100
0|2021-11-16|5512.0|0|5512.0|0|141.0|0|0.0|100
0|2021-11-17|5512.0|0|5512.0|0|141.0|0|0.0|100
0|2021-11-18|5510.0|0|5510.0|0|142.0|0|0.0|100
0|2021-11-19|5512.0|0|5512.0|0|142.0|0|0.0|100
0|2021-11-20|5512.0|0|5512.0|0|142.0|0|0.0|100
0|2021-11-21|5512.0|0|5512.0|0|142.0|0|0.0|100
0|2021-11-22|5519.0|0|5519.0|0|142.0|0|0.0|100
0|2021-11-23|5521.0|0|5521.0|0|142.0|0|0.0|100
0|2021-11-24|5523.0|0|5523.0|0|142.0|0|0.0|100
0|2021-11-25|5523.0|0|5523.0|0|142.0|0|0.0|100
0|2021-11-26|5528.0|0|5528.0|0|142.0|0|0.0|100
0|2021-11-27|5528.0|0|5528.0|0|142.0|0|0.0|100
0|2021-11-28|5528.0|0|5528.0|0|142.0|0|0.0|100
0|2021-11-29|5536.0|0|5536.0|0|143.0|0|0.0|100
0|2021-11-30|5539.0|0|5539.0|0|143.0|0|0.0|100
0|2021-12-01|5541.0|0|5541.0|0|143.0|0|0.0|100
0|2021-12-02|5547.0|0|5547.0|0|143.0|0|0.0|100
0|2021-12-03|5547.0|0|5547.0|0|143.0|0|0.0|100
0|2021-12-04|5547.0|0|5547.0|0|143.0|0|0.0|100
0|2021-12-05|5547.0|0|5547.0|0|143.0|0|0.0|100
0|2021-12-06|5561.0|0|5561.0|0|143.0|0|0.0|100
