|dates|Scurry_Texas_UnitedStates.JHU_ConfirmedCases.data|Scurry_Texas_UnitedStates.JHU_ConfirmedCases.missing|Scurry_Texas_UnitedStates.NYT_ConfirmedCases.data|Scurry_Texas_UnitedStates.NYT_ConfirmedCases.missing|Scurry_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Scurry_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Scurry_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Scurry_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3171.0|0|3171.0|0|81.0|0|0.0|100
0|2021-10-18|3174.0|0|3174.0|0|81.0|0|0.0|100
0|2021-10-19|3175.0|0|3175.0|0|82.0|0|0.0|100
0|2021-10-20|3180.0|0|3180.0|0|82.0|0|0.0|100
0|2021-10-21|3180.0|0|3180.0|0|82.0|0|0.0|100
0|2021-10-22|3180.0|0|3180.0|0|82.0|0|0.0|100
0|2021-10-23|3180.0|0|3180.0|0|82.0|0|0.0|100
0|2021-10-24|3181.0|0|3181.0|0|82.0|0|0.0|100
0|2021-10-25|3181.0|0|3181.0|0|82.0|0|0.0|100
0|2021-10-26|3181.0|0|3181.0|0|82.0|0|0.0|100
0|2021-10-27|3179.0|0|3179.0|0|82.0|0|0.0|100
0|2021-10-28|3185.0|0|3185.0|0|82.0|0|0.0|100
0|2021-10-29|3185.0|0|3185.0|0|82.0|0|0.0|100
0|2021-10-30|3185.0|0|3185.0|0|82.0|0|0.0|100
0|2021-10-31|3185.0|0|3185.0|0|82.0|0|0.0|100
0|2021-11-01|3190.0|0|3190.0|0|82.0|0|0.0|100
0|2021-11-02|3188.0|0|3188.0|0|82.0|0|0.0|100
0|2021-11-03|3190.0|0|3190.0|0|82.0|0|0.0|100
0|2021-11-04|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-05|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-06|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-07|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-08|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-09|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-10|3191.0|0|3191.0|0|82.0|0|0.0|100
0|2021-11-11|3191.0|0|3069.0|0|82.0|0|0.0|100
0|2021-11-12|3071.0|0|3071.0|0|82.0|0|0.0|100
0|2021-11-13|3220.0|0|3220.0|0|82.0|0|0.0|100
0|2021-11-14|3220.0|0|3220.0|0|82.0|0|0.0|100
0|2021-11-15|3220.0|0|3220.0|0|82.0|0|0.0|100
0|2021-11-16|3220.0|0|3220.0|0|83.0|0|0.0|100
0|2021-11-17|3220.0|0|3220.0|0|83.0|0|0.0|100
0|2021-11-18|3472.0|0|3472.0|0|84.0|0|0.0|100
0|2021-11-19|3472.0|0|3472.0|0|84.0|0|0.0|100
