|dates|Haskell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Haskell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Haskell_Kansas_UnitedStates.Male_Total_Population.data|Haskell_Kansas_UnitedStates.Male_Total_Population.missing|Haskell_Kansas_UnitedStates.Female_Total_Population.data|Haskell_Kansas_UnitedStates.Female_Total_Population.missing|Haskell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Haskell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-18|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-19|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-20|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-21|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-22|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-23|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-24|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-25|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-26|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-27|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-28|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-29|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-30|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-10-31|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-01|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-02|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-03|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-04|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-05|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-06|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-07|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-08|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-09|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-10|591.0|0|2008.0|0|1989.0|0|1125.0|0
