|dates|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedCases.data|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|HotSprings_Wyoming_UnitedStates.NYT_ConfirmedCases.data|HotSprings_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|HotSprings_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|845.0|0|846.0|0|8.0|0|0.0|100
0|2021-10-18|852.0|0|853.0|0|8.0|0|0.0|100
0|2021-10-19|855.0|0|856.0|0|8.0|0|0.0|100
0|2021-10-20|856.0|0|857.0|0|8.0|0|0.0|100
0|2021-10-21|859.0|0|860.0|0|8.0|0|0.0|100
0|2021-10-22|862.0|0|863.0|0|8.0|0|0.0|100
0|2021-10-23|862.0|0|863.0|0|8.0|0|0.0|100
0|2021-10-24|862.0|0|863.0|0|8.0|0|0.0|100
0|2021-10-25|867.0|0|868.0|0|8.0|0|0.0|100
0|2021-10-26|868.0|0|869.0|0|9.0|0|0.0|100
0|2021-10-27|869.0|0|870.0|0|9.0|0|0.0|100
0|2021-10-28|870.0|0|871.0|0|9.0|0|0.0|100
0|2021-10-29|871.0|0|872.0|0|9.0|0|0.0|100
0|2021-10-30|871.0|0|872.0|0|9.0|0|0.0|100
0|2021-10-31|871.0|0|872.0|0|9.0|0|0.0|100
0|2021-11-01|873.0|0|874.0|0|9.0|0|0.0|100
0|2021-11-02|873.0|0|874.0|0|9.0|0|0.0|100
0|2021-11-03|878.0|0|879.0|0|9.0|0|0.0|100
0|2021-11-04|878.0|0|879.0|0|9.0|0|0.0|100
0|2021-11-05|881.0|0|882.0|0|9.0|0|0.0|100
0|2021-11-06|881.0|0|882.0|0|9.0|0|0.0|100
0|2021-11-07|881.0|0|882.0|0|9.0|0|0.0|100
0|2021-11-08|882.0|0|883.0|0|9.0|0|0.0|100
0|2021-11-09|882.0|0|883.0|0|9.0|0|0.0|100
0|2021-11-10|882.0|0|884.0|0|9.0|0|0.0|100
0|2021-11-11|883.0|0|884.0|0|9.0|0|0.0|100
0|2021-11-12|884.0|0|885.0|0|9.0|0|0.0|100
0|2021-11-13|884.0|0|885.0|0|9.0|0|0.0|100
0|2021-11-14|884.0|0|885.0|0|9.0|0|0.0|100
0|2021-11-15|885.0|0|886.0|0|9.0|0|0.0|100
0|2021-11-16|886.0|0|887.0|0|10.0|0|0.0|100
0|2021-11-17|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-18|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-19|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-20|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-21|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-22|887.0|0|888.0|0|10.0|0|0.0|100
0|2021-11-23|887.0|0|888.0|0|10.0|0|0.0|100
