|dates|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|McNairy_Tennessee_UnitedStates.NYT_ConfirmedCases.data|McNairy_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4554.0|0|4554.0|0|65.0|0|0.0|100
0|2021-10-18|4566.0|0|4566.0|0|67.0|0|0.0|100
0|2021-10-19|4569.0|0|4569.0|0|67.0|0|0.0|100
0|2021-10-20|4577.0|0|4577.0|0|68.0|0|0.0|100
0|2021-10-21|4583.0|0|4583.0|0|68.0|0|0.0|100
0|2021-10-22|4594.0|0|4594.0|0|69.0|0|0.0|100
0|2021-10-23|4594.0|0|4594.0|0|69.0|0|0.0|100
0|2021-10-24|4594.0|0|4594.0|0|69.0|0|0.0|100
0|2021-10-25|4594.0|0|4594.0|0|69.0|0|0.0|100
0|2021-10-26|4606.0|0|4606.0|0|70.0|0|0.0|100
0|2021-10-27|4613.0|0|4613.0|0|70.0|0|0.0|100
0|2021-10-28|4620.0|0|4620.0|0|70.0|0|0.0|100
0|2021-10-29|4631.0|0|4631.0|0|70.0|0|0.0|100
0|2021-10-30|4631.0|0|4631.0|0|70.0|0|0.0|100
0|2021-10-31|4631.0|0|4631.0|0|70.0|0|0.0|100
0|2021-11-01|4631.0|0|4631.0|0|70.0|0|0.0|100
0|2021-11-02|4648.0|0|4648.0|0|71.0|0|0.0|100
0|2021-11-03|4654.0|0|4654.0|0|71.0|0|0.0|100
0|2021-11-04|4669.0|0|4669.0|0|71.0|0|0.0|100
0|2021-11-05|4673.0|0|4673.0|0|71.0|0|0.0|100
0|2021-11-06|4673.0|0|4673.0|0|71.0|0|0.0|100
0|2021-11-07|4673.0|0|4673.0|0|71.0|0|0.0|100
0|2021-11-08|4673.0|0|4673.0|0|71.0|0|0.0|100
0|2021-11-09|4688.0|0|4688.0|0|71.0|0|0.0|100
0|2021-11-10|4688.0|0|4695.0|0|71.0|0|0.0|100
0|2021-11-11|4695.0|0|4695.0|0|71.0|0|0.0|100
0|2021-11-12|4706.0|0|4706.0|0|71.0|0|0.0|100
