|dates|Cache_Utah_UnitedStates.JHU_ConfirmedCases.data|Cache_Utah_UnitedStates.JHU_ConfirmedCases.missing|Cache_Utah_UnitedStates.NYT_ConfirmedCases.data|Cache_Utah_UnitedStates.NYT_ConfirmedCases.missing|Cache_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Cache_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Cache_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Cache_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|37.0|0|21061.0|0|0.0|0|0.0|100
0|2021-10-18|37.0|0|21061.0|0|0.0|0|0.0|100
0|2021-10-19|37.0|0|21278.0|0|0.0|0|0.0|100
0|2021-10-20|37.0|0|21330.0|0|0.0|0|0.0|100
0|2021-10-21|37.0|0|21330.0|0|0.0|0|0.0|100
0|2021-10-22|37.0|0|21530.0|0|0.0|0|0.0|100
0|2021-10-23|37.0|0|21530.0|0|0.0|0|0.0|100
0|2021-10-24|37.0|0|21530.0|0|0.0|0|0.0|100
0|2021-10-25|37.0|0|21680.0|0|0.0|0|0.0|100
0|2021-10-26|37.0|0|21731.0|0|0.0|0|0.0|100
0|2021-10-27|37.0|0|21815.0|0|0.0|0|0.0|100
0|2021-10-28|37.0|0|21815.0|0|0.0|0|0.0|100
0|2021-10-29|37.0|0|21944.0|0|0.0|0|0.0|100
0|2021-10-30|37.0|0|21944.0|0|0.0|0|0.0|100
0|2021-10-31|37.0|0|21944.0|0|0.0|0|0.0|100
0|2021-11-01|37.0|0|21944.0|0|0.0|0|0.0|100
0|2021-11-02|37.0|0|22082.0|0|0.0|0|0.0|100
0|2021-11-03|37.0|0|22156.0|0|0.0|0|0.0|100
0|2021-11-04|37.0|0|22266.0|0|0.0|0|0.0|100
0|2021-11-05|37.0|0|22330.0|0|0.0|0|0.0|100
0|2021-11-06|37.0|0|22330.0|0|0.0|0|0.0|100
0|2021-11-07|37.0|0|22330.0|0|0.0|0|0.0|100
0|2021-11-08|37.0|0|22330.0|0|0.0|0|0.0|100
0|2021-11-09|37.0|0|22517.0|0|0.0|0|0.0|100
0|2021-11-10|37.0|0|22517.0|0|0.0|0|0.0|100
0|2021-11-11|37.0|0|22570.0|0|0.0|0|0.0|100
0|2021-11-12|37.0|0|22715.0|0|0.0|0|0.0|100
0|2021-11-13|37.0|0|22715.0|0|0.0|0|0.0|100
0|2021-11-14|37.0|0|22715.0|0|0.0|0|0.0|100
0|2021-11-15|37.0|0|22715.0|0|0.0|0|0.0|100
0|2021-11-16|37.0|0|22969.0|0|0.0|0|0.0|100
0|2021-11-17|37.0|0|22969.0|0|0.0|0|0.0|100
0|2021-11-18|37.0|0|23146.0|0|0.0|0|0.0|100
0|2021-11-19|37.0|0|23218.0|0|0.0|0|0.0|100
0|2021-11-20|37.0|0|23218.0|0|0.0|0|0.0|100
