|dates|Vigo_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Vigo_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Vigo_Indiana_UnitedStates.Male_Total_Population.data|Vigo_Indiana_UnitedStates.Male_Total_Population.missing|Vigo_Indiana_UnitedStates.Female_Total_Population.data|Vigo_Indiana_UnitedStates.Female_Total_Population.missing|Vigo_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Vigo_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-18|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-19|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-20|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-21|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-22|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-23|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-24|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-25|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-26|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-27|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-28|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-29|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-30|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-10-31|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-01|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-02|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-03|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-04|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-05|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-06|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-07|17517.0|0|54405.0|0|52981.0|0|21965.0|0
0|2021-11-08|17517.0|0|54405.0|0|52981.0|0|21965.0|0
