|dates|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Berks_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Berks_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Berks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1122.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1124.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1125.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1133.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1135.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1136.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1136.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1136.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1136.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1141.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1147.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1148.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1150.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1152.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1154.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1154.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1156.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1158.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1161.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|1164.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|1164.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|1164.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|1164.0|0|0.0|100|0.0|100
