|dates|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Dukes_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Dukes_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Dukes_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|42.0|0|1825.0|0|0.0|0|0.0|100
0|2021-10-18|42.0|0|1838.0|0|0.0|0|0.0|100
0|2021-10-19|42.0|0|1842.0|0|0.0|0|0.0|100
0|2021-10-20|42.0|0|1844.0|0|0.0|0|0.0|100
0|2021-10-21|42.0|0|1848.0|0|0.0|0|0.0|100
0|2021-10-22|42.0|0|1850.0|0|0.0|0|0.0|100
0|2021-10-23|42.0|0|1850.0|0|0.0|0|0.0|100
0|2021-10-24|42.0|0|1850.0|0|0.0|0|0.0|100
0|2021-10-25|42.0|0|1854.0|0|0.0|0|0.0|100
0|2021-10-26|42.0|0|1857.0|0|0.0|0|0.0|100
0|2021-10-27|42.0|0|1858.0|0|0.0|0|0.0|100
0|2021-10-28|42.0|0|1859.0|0|0.0|0|0.0|100
0|2021-10-29|42.0|0|1861.0|0|0.0|0|0.0|100
0|2021-10-30|42.0|0|1861.0|0|0.0|0|0.0|100
0|2021-10-31|42.0|0|1861.0|0|0.0|0|0.0|100
0|2021-11-01|42.0|0|1864.0|0|0.0|0|0.0|100
0|2021-11-02|42.0|0|1864.0|0|0.0|0|0.0|100
0|2021-11-03|42.0|0|1864.0|0|0.0|0|0.0|100
0|2021-11-04|42.0|0|1865.0|0|0.0|0|0.0|100
0|2021-11-05|42.0|0|1866.0|0|0.0|0|0.0|100
0|2021-11-06|42.0|0|1866.0|0|0.0|0|0.0|100
0|2021-11-07|42.0|0|1866.0|0|0.0|0|0.0|100
0|2021-11-08|42.0|0|1868.0|0|0.0|0|0.0|100
0|2021-11-09|42.0|0|1873.0|0|0.0|0|0.0|100
0|2021-11-10|42.0|0|1875.0|0|0.0|0|0.0|100
0|2021-11-11|42.0|0|1875.0|0|0.0|0|0.0|100
0|2021-11-12|42.0|0|1880.0|0|0.0|0|0.0|100
0|2021-11-13|42.0|0|1880.0|0|0.0|0|0.0|100
0|2021-11-14|42.0|0|1880.0|0|0.0|0|0.0|100
0|2021-11-15|42.0|0|1881.0|0|0.0|0|0.0|100
0|2021-11-16|42.0|0|1883.0|0|0.0|0|0.0|100
0|2021-11-17|42.0|0|1887.0|0|0.0|0|0.0|100
0|2021-11-18|42.0|0|1889.0|0|0.0|0|0.0|100
0|2021-11-19|42.0|0|1891.0|0|0.0|0|0.0|100
0|2021-11-20|42.0|0|1891.0|0|0.0|0|0.0|100
0|2021-11-21|42.0|0|1891.0|0|0.0|0|0.0|100
0|2021-11-22|42.0|0|1897.0|0|0.0|0|0.0|100
0|2021-11-23|42.0|0|1905.0|0|0.0|0|0.0|100
0|2021-11-24|42.0|0|1906.0|0|0.0|0|0.0|100
0|2021-11-25|42.0|0|1906.0|0|0.0|0|0.0|100
0|2021-11-26|42.0|0|1910.0|0|0.0|0|0.0|100
0|2021-11-27|42.0|0|1910.0|0|0.0|0|0.0|100
0|2021-11-28|42.0|0|1910.0|0|0.0|0|0.0|100
0|2021-11-29|42.0|0|1920.0|0|0.0|0|0.0|100
0|2021-11-30|42.0|0|1929.0|0|0.0|0|0.0|100
0|2021-12-01|42.0|0|1934.0|0|0.0|0|0.0|100
0|2021-12-02|42.0|0|1947.0|0|0.0|0|0.0|100
0|2021-12-03|42.0|0|1965.0|0|0.0|0|0.0|100
0|2021-12-04|42.0|0|1965.0|0|0.0|0|0.0|100
0|2021-12-05|42.0|0|1965.0|0|0.0|0|0.0|100
0|2021-12-06|42.0|0|2001.0|0|0.0|0|0.0|100
0|2021-12-07|42.0|0|2007.0|0|0.0|0|0.0|100
0|2021-12-08|42.0|0|2020.0|0|0.0|0|0.0|100
0|2021-12-09|42.0|0|2046.0|0|0.0|0|0.0|100
0|2021-12-10|42.0|0|2062.0|0|0.0|0|0.0|100
0|2021-12-11|42.0|0|2062.0|0|0.0|0|0.0|100
0|2021-12-12|42.0|0|2062.0|0|0.0|0|0.0|100
0|2021-12-13|42.0|0|2096.0|0|0.0|0|0.0|100
0|2021-12-14|42.0|0|2124.0|0|0.0|0|0.0|100
0|2021-12-15|42.0|0|2134.0|0|0.0|0|0.0|100
0|2021-12-16|42.0|0|2148.0|0|0.0|0|0.0|100
0|2021-12-17|42.0|0|2158.0|0|0.0|0|0.0|100
0|2021-12-18|42.0|0|2158.0|0|0.0|0|0.0|100
0|2021-12-19|42.0|0|2158.0|0|0.0|0|0.0|100
0|2021-12-20|42.0|0|2207.0|0|0.0|0|0.0|100
0|2021-12-21|42.0|0|2212.0|0|0.0|0|0.0|100
0|2021-12-22|42.0|0|2218.0|0|0.0|0|0.0|100
0|2021-12-23|42.0|0|2225.0|0|0.0|0|0.0|100
0|2021-12-24|42.0|0|2238.0|0|0.0|0|0.0|100
0|2021-12-25|42.0|0|2238.0|0|0.0|0|0.0|100
0|2021-12-26|42.0|0|2238.0|0|0.0|0|0.0|100
0|2021-12-27|42.0|0|2268.0|0|0.0|0|0.0|100
0|2021-12-28|42.0|0|2298.0|0|0.0|0|0.0|100
0|2021-12-29|42.0|0|2328.0|0|0.0|0|0.0|100
0|2021-12-30|42.0|0|2340.0|0|0.0|0|0.0|100
0|2021-12-31|42.0|0|2374.0|0|0.0|0|0.0|100
0|2022-01-01|42.0|0|2374.0|0|0.0|0|0.0|100
0|2022-01-02|42.0|0|2374.0|0|0.0|0|0.0|100
0|2022-01-03|42.0|0|2443.0|0|0.0|0|0.0|100
0|2022-01-04|42.0|0|2493.0|0|0.0|0|0.0|100
0|2022-01-05|42.0|0|2554.0|0|0.0|0|0.0|100
0|2022-01-06|42.0|0|2580.0|0|0.0|0|0.0|100
0|2022-01-07|42.0|0|2647.0|0|0.0|0|0.0|100
0|2022-01-08|42.0|0|2647.0|0|0.0|0|0.0|100
0|2022-01-09|42.0|0|2647.0|0|0.0|0|0.0|100
0|2022-01-10|42.0|0|2783.0|0|0.0|0|0.0|100
0|2022-01-11|42.0|0|2828.0|0|0.0|0|0.0|100
0|2022-01-12|42.0|0|2846.0|0|0.0|0|0.0|100
0|2022-01-13|42.0|0|2878.0|0|0.0|0|0.0|100
0|2022-01-14|42.0|0|2890.0|0|0.0|0|0.0|100
0|2022-01-15|42.0|0|2890.0|0|0.0|0|0.0|100
0|2022-01-16|42.0|0|2890.0|0|0.0|0|0.0|100
0|2022-01-17|42.0|0|0.0|100|0.0|0|0.0|100
