|dates|Beaufort_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Beaufort_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Beaufort_SouthCarolina_UnitedStates.Male_Total_Population.data|Beaufort_SouthCarolina_UnitedStates.Male_Total_Population.missing|Beaufort_SouthCarolina_UnitedStates.Female_Total_Population.data|Beaufort_SouthCarolina_UnitedStates.Female_Total_Population.missing|Beaufort_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Beaufort_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-18|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-19|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-20|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-21|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-22|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-23|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-24|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-25|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-26|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-27|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-28|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-29|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-30|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-10-31|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-01|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-02|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-03|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-04|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-05|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-06|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-07|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-08|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-09|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-10|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-11|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-12|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-13|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-14|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-15|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-16|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-17|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-18|51442.0|0|92476.0|0|96239.0|0|35023.0|0
0|2021-11-19|51442.0|0|92476.0|0|96239.0|0|35023.0|0
