|dates|Pinal_Arizona_UnitedStates.JHU_ConfirmedCases.data|Pinal_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Pinal_Arizona_UnitedStates.NYT_ConfirmedCases.data|Pinal_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Pinal_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Pinal_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Pinal_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Pinal_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|71384.0|0|71384.0|0|1051.0|0|0.0|100
0|2021-10-18|71384.0|0|71384.0|0|1051.0|0|0.0|100
0|2021-10-19|71873.0|0|71873.0|0|1067.0|0|0.0|100
0|2021-10-20|72009.0|0|72009.0|0|1063.0|0|0.0|100
0|2021-10-21|72200.0|0|72200.0|0|1065.0|0|0.0|100
0|2021-10-22|72389.0|0|72389.0|0|1067.0|0|0.0|100
0|2021-10-23|72566.0|0|72566.0|0|1071.0|0|0.0|100
0|2021-10-24|72572.0|0|72572.0|0|1071.0|0|0.0|100
0|2021-10-25|72572.0|0|72572.0|0|1070.0|0|0.0|100
0|2021-10-26|72609.0|0|72609.0|0|1076.0|0|0.0|100
0|2021-10-27|73073.0|0|73073.0|0|1079.0|0|0.0|100
0|2021-10-28|73331.0|0|73331.0|0|1075.0|0|0.0|100
0|2021-10-29|73511.0|0|73511.0|0|1083.0|0|0.0|100
0|2021-10-30|73731.0|0|73731.0|0|1086.0|0|0.0|100
0|2021-10-31|73784.0|0|73784.0|0|1087.0|0|0.0|100
0|2021-11-01|73791.0|0|73791.0|0|1087.0|0|0.0|100
0|2021-11-02|74286.0|0|74286.0|0|1087.0|0|0.0|100
0|2021-11-03|74434.0|0|74434.0|0|1099.0|0|0.0|100
0|2021-11-04|74734.0|0|74734.0|0|1100.0|0|0.0|100
0|2021-11-05|74997.0|0|74997.0|0|1102.0|0|0.0|100
0|2021-11-06|75259.0|0|75259.0|0|1109.0|0|0.0|100
0|2021-11-07|75289.0|0|75289.0|0|1109.0|0|0.0|100
0|2021-11-08|75293.0|0|75293.0|0|1109.0|0|0.0|100
0|2021-11-09|75889.0|0|75889.0|0|1118.0|0|0.0|100
0|2021-11-10|75889.0|0|76035.0|0|1118.0|0|0.0|100
0|2021-11-11|76260.0|0|76260.0|0|1123.0|0|0.0|100
0|2021-11-12|76398.0|0|76398.0|0|1128.0|0|0.0|100
0|2021-11-13|76843.0|0|76843.0|0|1133.0|0|0.0|100
0|2021-11-14|76973.0|0|76973.0|0|1134.0|0|0.0|100
0|2021-11-15|76977.0|0|76977.0|0|1134.0|0|0.0|100
0|2021-11-16|77467.0|0|77467.0|0|1141.0|0|0.0|100
0|2021-11-17|77895.0|0|77895.0|0|1140.0|0|0.0|100
