|dates|Mineral_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mineral_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mineral_Colorado_UnitedStates.Male_Total_Population.data|Mineral_Colorado_UnitedStates.Male_Total_Population.missing|Mineral_Colorado_UnitedStates.Female_Total_Population.data|Mineral_Colorado_UnitedStates.Female_Total_Population.missing|Mineral_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Mineral_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-18|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-19|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-20|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-21|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-22|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-23|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-24|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-25|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-26|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-27|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-28|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-29|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-30|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-10-31|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-01|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-02|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-03|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-04|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-05|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-06|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-07|242.0|0|385.0|0|391.0|0|115.0|0
