|dates|Schley_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Schley_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Schley_Georgia_UnitedStates.Male_Total_Population.data|Schley_Georgia_UnitedStates.Male_Total_Population.missing|Schley_Georgia_UnitedStates.Female_Total_Population.data|Schley_Georgia_UnitedStates.Female_Total_Population.missing|Schley_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Schley_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-10-31|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-11-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2021-12-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
