|dates|Berks_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Berks_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Berks_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Berks_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Berks_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Berks_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Berks_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Berks_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-18|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-19|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-20|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-21|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-22|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-23|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-24|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-25|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-26|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-27|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-28|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-29|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-30|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-10-31|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-01|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-02|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-03|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-04|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-05|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-06|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-07|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
0|2021-11-08|190870.0|0|12297.0|0|6.052656189243332|0|203167.0|0
