|dates|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Washington_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Washington_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1560.0|0|1560.0|0|37.0|0|0.0|100
0|2021-10-18|1566.0|0|1566.0|0|37.0|0|0.0|100
0|2021-10-19|1567.0|0|1567.0|0|37.0|0|0.0|100
0|2021-10-20|1567.0|0|1567.0|0|37.0|0|0.0|100
0|2021-10-21|1568.0|0|1568.0|0|37.0|0|0.0|100
0|2021-10-22|1574.0|0|1574.0|0|37.0|0|0.0|100
0|2021-10-23|1574.0|0|1574.0|0|37.0|0|0.0|100
0|2021-10-24|1574.0|0|1574.0|0|37.0|0|0.0|100
0|2021-10-25|1578.0|0|1578.0|0|37.0|0|0.0|100
0|2021-10-26|1578.0|0|1578.0|0|37.0|0|0.0|100
0|2021-10-27|1580.0|0|1580.0|0|37.0|0|0.0|100
0|2021-10-28|1587.0|0|1587.0|0|37.0|0|0.0|100
0|2021-10-29|1593.0|0|1593.0|0|37.0|0|0.0|100
0|2021-10-30|1593.0|0|1593.0|0|37.0|0|0.0|100
0|2021-10-31|1593.0|0|1593.0|0|37.0|0|0.0|100
0|2021-11-01|1597.0|0|1597.0|0|37.0|0|0.0|100
0|2021-11-02|1599.0|0|1599.0|0|37.0|0|0.0|100
0|2021-11-03|1599.0|0|1599.0|0|37.0|0|0.0|100
0|2021-11-04|1603.0|0|1603.0|0|37.0|0|0.0|100
0|2021-11-05|1606.0|0|1606.0|0|37.0|0|0.0|100
0|2021-11-06|1606.0|0|1606.0|0|37.0|0|0.0|100
0|2021-11-07|1606.0|0|1606.0|0|37.0|0|0.0|100
0|2021-11-08|1610.0|0|1610.0|0|37.0|0|0.0|100
0|2021-11-09|1610.0|0|1610.0|0|37.0|0|0.0|100
0|2021-11-10|1610.0|0|1612.0|0|37.0|0|0.0|100
0|2021-11-11|1612.0|0|1612.0|0|37.0|0|0.0|100
0|2021-11-12|1614.0|0|1614.0|0|37.0|0|0.0|100
0|2021-11-13|1614.0|0|1614.0|0|37.0|0|0.0|100
0|2021-11-14|1614.0|0|1614.0|0|37.0|0|0.0|100
0|2021-11-15|1624.0|0|1624.0|0|37.0|0|0.0|100
0|2021-11-16|1627.0|0|1627.0|0|37.0|0|0.0|100
0|2021-11-17|1627.0|0|1627.0|0|37.0|0|0.0|100
0|2021-11-18|1629.0|0|1629.0|0|37.0|0|0.0|100
0|2021-11-19|1629.0|0|1629.0|0|37.0|0|0.0|100
0|2021-11-20|1629.0|0|1629.0|0|37.0|0|0.0|100
0|2021-11-21|1629.0|0|1629.0|0|37.0|0|0.0|100
0|2021-11-22|1631.0|0|1631.0|0|37.0|0|0.0|100
0|2021-11-23|1630.0|0|1630.0|0|37.0|0|0.0|100
0|2021-11-24|1633.0|0|1633.0|0|37.0|0|0.0|100
