|dates|Spink_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Spink_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Spink_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Spink_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Spink_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Spink_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Spink_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Spink_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1010.0|0|1010.0|0|27.0|0|0.0|100
0|2021-10-18|1010.0|0|1013.0|0|27.0|0|0.0|100
0|2021-10-19|1010.0|0|1017.0|0|27.0|0|0.0|100
0|2021-10-20|1018.0|0|1018.0|0|27.0|0|0.0|100
0|2021-10-21|1019.0|0|1019.0|0|27.0|0|0.0|100
0|2021-10-22|1019.0|0|1019.0|0|27.0|0|0.0|100
0|2021-10-23|1019.0|0|1019.0|0|27.0|0|0.0|100
0|2021-10-24|1019.0|0|1019.0|0|27.0|0|0.0|100
0|2021-10-25|1020.0|0|1020.0|0|27.0|0|0.0|100
0|2021-10-26|1020.0|0|1020.0|0|27.0|0|0.0|100
0|2021-10-27|1024.0|0|1024.0|0|27.0|0|0.0|100
0|2021-10-28|1024.0|0|1024.0|0|27.0|0|0.0|100
0|2021-10-29|1031.0|0|1031.0|0|27.0|0|0.0|100
0|2021-10-30|1031.0|0|1031.0|0|27.0|0|0.0|100
0|2021-10-31|1031.0|0|1031.0|0|27.0|0|0.0|100
0|2021-11-01|1034.0|0|1034.0|0|27.0|0|0.0|100
0|2021-11-02|1040.0|0|1040.0|0|27.0|0|0.0|100
0|2021-11-03|1045.0|0|1045.0|0|27.0|0|0.0|100
0|2021-11-04|1045.0|0|1045.0|0|27.0|0|0.0|100
0|2021-11-05|1050.0|0|1050.0|0|27.0|0|0.0|100
0|2021-11-06|1050.0|0|1050.0|0|27.0|0|0.0|100
0|2021-11-07|1050.0|0|1050.0|0|27.0|0|0.0|100
0|2021-11-08|1052.0|0|1052.0|0|27.0|0|0.0|100
0|2021-11-09|1053.0|0|1053.0|0|27.0|0|0.0|100
0|2021-11-10|1057.0|0|1057.0|0|27.0|0|0.0|100
0|2021-11-11|1057.0|0|1057.0|0|27.0|0|0.0|100
0|2021-11-12|1058.0|0|1058.0|0|27.0|0|0.0|100
0|2021-11-13|1058.0|0|1058.0|0|27.0|0|0.0|100
0|2021-11-14|1058.0|0|1058.0|0|27.0|0|0.0|100
0|2021-11-15|1060.0|0|1060.0|0|27.0|0|0.0|100
0|2021-11-16|1062.0|0|1062.0|0|27.0|0|0.0|100
0|2021-11-17|1062.0|0|1062.0|0|27.0|0|0.0|100
0|2021-11-18|1062.0|0|1062.0|0|27.0|0|0.0|100
0|2021-11-19|1064.0|0|1064.0|0|27.0|0|0.0|100
0|2021-11-20|1064.0|0|1064.0|0|27.0|0|0.0|100
0|2021-11-21|1064.0|0|1064.0|0|27.0|0|0.0|100
0|2021-11-22|1065.0|0|1065.0|0|27.0|0|0.0|100
0|2021-11-23|1066.0|0|1066.0|0|28.0|0|0.0|100
0|2021-11-24|1068.0|0|1068.0|0|28.0|0|0.0|100
0|2021-11-25|1068.0|0|1068.0|0|28.0|0|0.0|100
0|2021-11-26|1068.0|0|1068.0|0|28.0|0|0.0|100
0|2021-11-27|1068.0|0|1068.0|0|28.0|0|0.0|100
0|2021-11-28|1068.0|0|1068.0|0|28.0|0|0.0|100
0|2021-11-29|1070.0|0|1070.0|0|29.0|0|0.0|100
0|2021-11-30|1076.0|0|1076.0|0|29.0|0|0.0|100
0|2021-12-01|1077.0|0|1077.0|0|29.0|0|0.0|100
