|dates|Potter_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Potter_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Potter_Texas_UnitedStates.Male_Total_Population.data|Potter_Texas_UnitedStates.Male_Total_Population.missing|Potter_Texas_UnitedStates.Female_Total_Population.data|Potter_Texas_UnitedStates.Female_Total_Population.missing|Potter_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Potter_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-18|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-19|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-20|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-21|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-22|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-23|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-24|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-25|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-26|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-27|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-28|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-29|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-30|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-10-31|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-01|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-02|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-03|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-04|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-05|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-06|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-07|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-08|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-09|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-10|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-11|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-12|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-13|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-14|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-15|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-16|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-17|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-18|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-19|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-20|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-21|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-22|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-23|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-24|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-25|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-26|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-27|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-28|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-29|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-11-30|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-12-01|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-12-02|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-12-03|14922.0|0|61609.0|0|58039.0|0|32848.0|0
0|2021-12-04|14922.0|0|61609.0|0|58039.0|0|32848.0|0
