|dates|Stone_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Stone_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Stone_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Stone_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Stone_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Stone_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Stone_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Stone_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1693.0|0|1693.0|0|41.0|0|0.0|100
0|2021-10-18|1694.0|0|1694.0|0|41.0|0|0.0|100
0|2021-10-19|1702.0|0|1702.0|0|41.0|0|0.0|100
0|2021-10-20|1705.0|0|1705.0|0|41.0|0|0.0|100
0|2021-10-21|1710.0|0|1710.0|0|41.0|0|0.0|100
0|2021-10-22|1711.0|0|1711.0|0|41.0|0|0.0|100
0|2021-10-23|1711.0|0|1711.0|0|41.0|0|0.0|100
0|2021-10-24|1715.0|0|1715.0|0|41.0|0|0.0|100
0|2021-10-25|1716.0|0|1716.0|0|41.0|0|0.0|100
0|2021-10-26|1717.0|0|1717.0|0|42.0|0|0.0|100
0|2021-10-27|1720.0|0|1720.0|0|43.0|0|0.0|100
0|2021-10-28|1720.0|0|1720.0|0|43.0|0|0.0|100
0|2021-10-29|1722.0|0|1722.0|0|43.0|0|0.0|100
0|2021-10-30|1723.0|0|1723.0|0|43.0|0|0.0|100
0|2021-10-31|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-01|1726.0|0|1726.0|0|43.0|0|0.0|100
0|2021-11-02|1730.0|0|1730.0|0|44.0|0|0.0|100
0|2021-11-03|1738.0|0|1738.0|0|44.0|0|0.0|100
0|2021-11-04|1751.0|0|1751.0|0|44.0|0|0.0|100
0|2021-11-05|1760.0|0|1760.0|0|44.0|0|0.0|100
0|2021-11-06|1766.0|0|1766.0|0|44.0|0|0.0|100
0|2021-11-07|1768.0|0|1768.0|0|44.0|0|0.0|100
0|2021-11-08|1768.0|0|1770.0|0|44.0|0|0.0|100
0|2021-11-09|1781.0|0|1781.0|0|44.0|0|0.0|100
0|2021-11-10|1781.0|0|1792.0|0|44.0|0|0.0|100
0|2021-11-11|1801.0|0|1801.0|0|44.0|0|0.0|100
0|2021-11-12|1804.0|0|1804.0|0|44.0|0|0.0|100
0|2021-11-13|1808.0|0|1808.0|0|44.0|0|0.0|100
0|2021-11-14|1810.0|0|1810.0|0|44.0|0|0.0|100
0|2021-11-15|1812.0|0|1812.0|0|44.0|0|0.0|100
0|2021-11-16|1831.0|0|1831.0|0|44.0|0|0.0|100
0|2021-11-17|1838.0|0|1838.0|0|44.0|0|0.0|100
0|2021-11-18|1853.0|0|1853.0|0|44.0|0|0.0|100
0|2021-11-19|1866.0|0|1866.0|0|44.0|0|0.0|100
0|2021-11-20|1871.0|0|1871.0|0|44.0|0|0.0|100
0|2021-11-21|1875.0|0|1875.0|0|44.0|0|0.0|100
0|2021-11-22|1878.0|0|1878.0|0|44.0|0|0.0|100
0|2021-11-23|1881.0|0|1881.0|0|45.0|0|0.0|100
0|2021-11-24|1893.0|0|1893.0|0|45.0|0|0.0|100
0|2021-11-25|1897.0|0|1897.0|0|45.0|0|0.0|100
0|2021-11-26|1898.0|0|1898.0|0|45.0|0|0.0|100
0|2021-11-27|1900.0|0|1900.0|0|45.0|0|0.0|100
0|2021-11-28|1904.0|0|1904.0|0|45.0|0|0.0|100
0|2021-11-29|1905.0|0|1905.0|0|45.0|0|0.0|100
0|2021-11-30|1905.0|0|1924.0|0|45.0|0|0.0|100
0|2021-12-01|1933.0|0|1933.0|0|46.0|0|0.0|100
0|2021-12-02|1941.0|0|1941.0|0|46.0|0|0.0|100
0|2021-12-03|1944.0|0|1944.0|0|46.0|0|0.0|100
0|2021-12-04|1956.0|0|1956.0|0|46.0|0|0.0|100
0|2021-12-05|1958.0|0|1958.0|0|46.0|0|0.0|100
0|2021-12-06|1958.0|0|1958.0|0|46.0|0|0.0|100
0|2021-12-07|1966.0|0|1966.0|0|46.0|0|0.0|100
0|2021-12-08|1968.0|0|1968.0|0|46.0|0|0.0|100
0|2021-12-09|1973.0|0|1973.0|0|46.0|0|0.0|100
0|2021-12-10|1982.0|0|1982.0|0|46.0|0|0.0|100
0|2021-12-11|1987.0|0|1987.0|0|46.0|0|0.0|100
0|2021-12-12|1989.0|0|1989.0|0|46.0|0|0.0|100
0|2021-12-13|1990.0|0|1990.0|0|46.0|0|0.0|100
0|2021-12-14|1990.0|0|1991.0|0|46.0|0|0.0|100
0|2021-12-15|1993.0|0|1993.0|0|46.0|0|0.0|100
0|2021-12-16|1998.0|0|1998.0|0|46.0|0|0.0|100
0|2021-12-17|2000.0|0|2000.0|0|46.0|0|0.0|100
0|2021-12-18|2002.0|0|2002.0|0|46.0|0|0.0|100
0|2021-12-19|2003.0|0|2003.0|0|46.0|0|0.0|100
0|2021-12-20|2002.0|0|2002.0|0|47.0|0|0.0|100
0|2021-12-21|2009.0|0|2009.0|0|47.0|0|0.0|100
0|2021-12-22|2012.0|0|2012.0|0|47.0|0|0.0|100
0|2021-12-23|2014.0|0|2014.0|0|47.0|0|0.0|100
0|2021-12-24|2017.0|0|2017.0|0|47.0|0|0.0|100
0|2021-12-25|2018.0|0|2018.0|0|47.0|0|0.0|100
0|2021-12-26|2019.0|0|2019.0|0|47.0|0|0.0|100
0|2021-12-27|2020.0|0|2020.0|0|47.0|0|0.0|100
0|2021-12-28|2028.0|0|2028.0|0|48.0|0|0.0|100
0|2021-12-29|2034.0|0|2034.0|0|48.0|0|0.0|100
0|2021-12-30|2041.0|0|2041.0|0|48.0|0|0.0|100
0|2021-12-31|2051.0|0|2051.0|0|49.0|0|0.0|100
0|2022-01-01|2059.0|0|2059.0|0|49.0|0|0.0|100
0|2022-01-02|2062.0|0|2062.0|0|49.0|0|0.0|100
0|2022-01-03|2065.0|0|2065.0|0|49.0|0|0.0|100
0|2022-01-04|2080.0|0|2080.0|0|49.0|0|0.0|100
