|dates|Burke_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Burke_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Burke_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Burke_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Burke_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Burke_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Burke_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Burke_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|295.0|0|295.0|0|3.0|0|0.0|100
0|2021-10-18|295.0|0|295.0|0|3.0|0|0.0|100
0|2021-10-19|295.0|0|295.0|0|3.0|0|0.0|100
0|2021-10-20|296.0|0|296.0|0|3.0|0|0.0|100
0|2021-10-21|297.0|0|297.0|0|3.0|0|0.0|100
0|2021-10-22|297.0|0|297.0|0|3.0|0|0.0|100
0|2021-10-23|298.0|0|298.0|0|3.0|0|0.0|100
0|2021-10-24|298.0|0|298.0|0|3.0|0|0.0|100
0|2021-10-25|298.0|0|298.0|0|3.0|0|0.0|100
0|2021-10-26|298.0|0|298.0|0|3.0|0|0.0|100
0|2021-10-27|299.0|0|299.0|0|3.0|0|0.0|100
0|2021-10-28|304.0|0|304.0|0|3.0|0|0.0|100
0|2021-10-29|308.0|0|308.0|0|3.0|0|0.0|100
0|2021-10-30|313.0|0|313.0|0|3.0|0|0.0|100
0|2021-10-31|313.0|0|313.0|0|3.0|0|0.0|100
0|2021-11-01|313.0|0|313.0|0|3.0|0|0.0|100
0|2021-11-02|315.0|0|315.0|0|3.0|0|0.0|100
0|2021-11-03|315.0|0|315.0|0|3.0|0|0.0|100
0|2021-11-04|317.0|0|317.0|0|3.0|0|0.0|100
0|2021-11-05|318.0|0|318.0|0|3.0|0|0.0|100
0|2021-11-06|319.0|0|319.0|0|3.0|0|0.0|100
0|2021-11-07|320.0|0|320.0|0|3.0|0|0.0|100
0|2021-11-08|320.0|0|320.0|0|3.0|0|0.0|100
0|2021-11-09|323.0|0|323.0|0|3.0|0|0.0|100
0|2021-11-10|323.0|0|328.0|0|3.0|0|0.0|100
0|2021-11-11|331.0|0|331.0|0|3.0|0|0.0|100
0|2021-11-12|333.0|0|333.0|0|3.0|0|0.0|100
0|2021-11-13|334.0|0|334.0|0|3.0|0|0.0|100
0|2021-11-14|335.0|0|335.0|0|3.0|0|0.0|100
0|2021-11-15|335.0|0|335.0|0|3.0|0|0.0|100
0|2021-11-16|340.0|0|340.0|0|3.0|0|0.0|100
0|2021-11-17|341.0|0|341.0|0|3.0|0|0.0|100
0|2021-11-18|343.0|0|343.0|0|3.0|0|0.0|100
0|2021-11-19|345.0|0|345.0|0|3.0|0|0.0|100
0|2021-11-20|345.0|0|345.0|0|3.0|0|0.0|100
0|2021-11-21|347.0|0|347.0|0|3.0|0|0.0|100
0|2021-11-22|347.0|0|347.0|0|3.0|0|0.0|100
0|2021-11-23|348.0|0|348.0|0|3.0|0|0.0|100
0|2021-11-24|348.0|0|348.0|0|3.0|0|0.0|100
0|2021-11-25|349.0|0|349.0|0|3.0|0|0.0|100
0|2021-11-26|350.0|0|350.0|0|3.0|0|0.0|100
0|2021-11-27|350.0|0|350.0|0|3.0|0|0.0|100
0|2021-11-28|350.0|0|350.0|0|3.0|0|0.0|100
0|2021-11-29|350.0|0|350.0|0|3.0|0|0.0|100
0|2021-11-30|350.0|0|350.0|0|3.0|0|0.0|100
0|2021-12-01|351.0|0|351.0|0|3.0|0|0.0|100
0|2021-12-02|351.0|0|351.0|0|3.0|0|0.0|100
0|2021-12-03|351.0|0|351.0|0|3.0|0|0.0|100
0|2021-12-04|351.0|0|351.0|0|3.0|0|0.0|100
0|2021-12-05|352.0|0|352.0|0|3.0|0|0.0|100
0|2021-12-06|352.0|0|352.0|0|3.0|0|0.0|100
0|2021-12-07|354.0|0|354.0|0|3.0|0|0.0|100
0|2021-12-08|354.0|0|354.0|0|3.0|0|0.0|100
0|2021-12-09|354.0|0|354.0|0|3.0|0|0.0|100
0|2021-12-10|356.0|0|356.0|0|3.0|0|0.0|100
0|2021-12-11|356.0|0|356.0|0|3.0|0|0.0|100
0|2021-12-12|358.0|0|358.0|0|3.0|0|0.0|100
0|2021-12-13|358.0|0|358.0|0|3.0|0|0.0|100
0|2021-12-14|358.0|0|358.0|0|3.0|0|0.0|100
0|2021-12-15|358.0|0|358.0|0|3.0|0|0.0|100
0|2021-12-16|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-17|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-18|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-19|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-20|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-21|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-22|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-23|359.0|0|359.0|0|3.0|0|0.0|100
0|2021-12-24|360.0|0|360.0|0|3.0|0|0.0|100
0|2021-12-25|360.0|0|360.0|0|3.0|0|0.0|100
0|2021-12-26|361.0|0|361.0|0|3.0|0|0.0|100
0|2021-12-27|361.0|0|361.0|0|3.0|0|0.0|100
0|2021-12-28|360.0|0|360.0|0|3.0|0|0.0|100
0|2021-12-29|360.0|0|360.0|0|3.0|0|0.0|100
0|2021-12-30|360.0|0|360.0|0|3.0|0|0.0|100
0|2021-12-31|360.0|0|360.0|0|3.0|0|0.0|100
0|2022-01-01|361.0|0|361.0|0|3.0|0|0.0|100
0|2022-01-02|361.0|0|361.0|0|3.0|0|0.0|100
0|2022-01-03|361.0|0|361.0|0|3.0|0|0.0|100
0|2022-01-04|363.0|0|363.0|0|3.0|0|0.0|100
0|2022-01-05|364.0|0|364.0|0|3.0|0|0.0|100
0|2022-01-06|366.0|0|366.0|0|3.0|0|0.0|100
0|2022-01-07|368.0|0|368.0|0|3.0|0|0.0|100
0|2022-01-08|369.0|0|369.0|0|3.0|0|0.0|100
0|2022-01-09|371.0|0|371.0|0|3.0|0|0.0|100
0|2022-01-10|371.0|0|371.0|0|3.0|0|0.0|100
0|2022-01-11|372.0|0|372.0|0|3.0|0|0.0|100
0|2022-01-12|374.0|0|374.0|0|3.0|0|0.0|100
0|2022-01-13|374.0|0|376.0|0|3.0|0|0.0|100
0|2022-01-14|380.0|0|380.0|0|3.0|0|0.0|100
0|2022-01-15|382.0|0|382.0|0|3.0|0|0.0|100
0|2022-01-16|383.0|0|383.0|0|3.0|0|0.0|100
0|2022-01-17|383.0|0|0.0|100|3.0|0|0.0|100
