|dates|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedCases.data|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|DonaAna_NewMexico_UnitedStates.NYT_ConfirmedCases.data|DonaAna_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|DonaAna_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|29317.0|0|29563.0|0|530.0|0|0.0|100
0|2021-10-18|29461.0|0|29707.0|0|530.0|0|0.0|100
0|2021-10-19|29495.0|0|29741.0|0|531.0|0|0.0|100
0|2021-10-20|29572.0|0|29818.0|0|533.0|0|0.0|100
0|2021-10-21|29670.0|0|29916.0|0|533.0|0|0.0|100
0|2021-10-22|29769.0|0|30015.0|0|533.0|0|0.0|100
0|2021-10-23|29769.0|0|30015.0|0|533.0|0|0.0|100
0|2021-10-24|29769.0|0|30015.0|0|533.0|0|0.0|100
0|2021-10-25|30032.0|0|30278.0|0|533.0|0|0.0|100
0|2021-10-26|30100.0|0|30346.0|0|533.0|0|0.0|100
0|2021-10-27|30149.0|0|30395.0|0|533.0|0|0.0|100
0|2021-10-28|30345.0|0|30591.0|0|536.0|0|0.0|100
0|2021-10-29|30458.0|0|30704.0|0|536.0|0|0.0|100
0|2021-10-30|30458.0|0|30704.0|0|536.0|0|0.0|100
0|2021-10-31|30458.0|0|30704.0|0|536.0|0|0.0|100
0|2021-11-01|30787.0|0|31033.0|0|538.0|0|0.0|100
0|2021-11-02|30869.0|0|31115.0|0|538.0|0|0.0|100
0|2021-11-03|30969.0|0|31215.0|0|538.0|0|0.0|100
0|2021-11-04|31191.0|0|31437.0|0|540.0|0|0.0|100
0|2021-11-05|31403.0|0|31649.0|0|540.0|0|0.0|100
0|2021-11-06|31403.0|0|31649.0|0|540.0|0|0.0|100
0|2021-11-07|31403.0|0|31649.0|0|540.0|0|0.0|100
0|2021-11-08|31960.0|0|32208.0|0|540.0|0|0.0|100
0|2021-11-09|32047.0|0|32295.0|0|540.0|0|0.0|100
0|2021-11-10|32047.0|0|32507.0|0|540.0|0|0.0|100
0|2021-11-11|32259.0|0|32507.0|0|540.0|0|0.0|100
0|2021-11-12|32718.0|0|32966.0|0|542.0|0|0.0|100
0|2021-11-13|32718.0|0|32966.0|0|542.0|0|0.0|100
0|2021-11-14|32718.0|0|32966.0|0|542.0|0|0.0|100
0|2021-11-15|33278.0|0|33526.0|0|542.0|0|0.0|100
0|2021-11-16|33451.0|0|33699.0|0|542.0|0|0.0|100
0|2021-11-17|33686.0|0|33934.0|0|542.0|0|0.0|100
0|2021-11-18|33990.0|0|34238.0|0|543.0|0|0.0|100
0|2021-11-19|34211.0|0|34459.0|0|544.0|0|0.0|100
0|2021-11-20|34211.0|0|34459.0|0|544.0|0|0.0|100
0|2021-11-21|34211.0|0|34459.0|0|544.0|0|0.0|100
0|2021-11-22|34946.0|0|35194.0|0|544.0|0|0.0|100
0|2021-11-23|35121.0|0|35369.0|0|547.0|0|0.0|100
0|2021-11-24|35350.0|0|35598.0|0|551.0|0|0.0|100
0|2021-11-25|35350.0|0|35598.0|0|551.0|0|0.0|100
0|2021-11-26|35350.0|0|35598.0|0|551.0|0|0.0|100
0|2021-11-27|35350.0|0|35598.0|0|551.0|0|0.0|100
0|2021-11-28|35350.0|0|35598.0|0|551.0|0|0.0|100
0|2021-11-29|36138.0|0|36386.0|0|558.0|0|0.0|100
0|2021-11-30|36294.0|0|36542.0|0|558.0|0|0.0|100
