|dates|Putnam_Illinois_UnitedStates.JHU_ConfirmedCases.data|Putnam_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Illinois_UnitedStates.NYT_ConfirmedCases.data|Putnam_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Putnam_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|560.0|0|560.0|0|4.0|0|0.0|100
0|2021-10-18|561.0|0|561.0|0|4.0|0|0.0|100
0|2021-10-19|563.0|0|563.0|0|4.0|0|0.0|100
0|2021-10-20|565.0|0|565.0|0|4.0|0|0.0|100
0|2021-10-21|565.0|0|565.0|0|4.0|0|0.0|100
0|2021-10-22|567.0|0|567.0|0|4.0|0|0.0|100
0|2021-10-23|567.0|0|567.0|0|4.0|0|0.0|100
0|2021-10-24|567.0|0|567.0|0|4.0|0|0.0|100
0|2021-10-25|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-26|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-27|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-28|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-29|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-30|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-10-31|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-11-01|568.0|0|568.0|0|4.0|0|0.0|100
0|2021-11-02|571.0|0|571.0|0|4.0|0|0.0|100
0|2021-11-03|572.0|0|572.0|0|4.0|0|0.0|100
0|2021-11-04|575.0|0|575.0|0|4.0|0|0.0|100
0|2021-11-05|576.0|0|576.0|0|4.0|0|0.0|100
0|2021-11-06|576.0|0|576.0|0|4.0|0|0.0|100
0|2021-11-07|576.0|0|576.0|0|4.0|0|0.0|100
0|2021-11-08|579.0|0|579.0|0|4.0|0|0.0|100
0|2021-11-09|581.0|0|581.0|0|4.0|0|0.0|100
0|2021-11-10|581.0|0|586.0|0|4.0|0|0.0|100
0|2021-11-11|586.0|0|586.0|0|4.0|0|0.0|100
0|2021-11-12|588.0|0|588.0|0|4.0|0|0.0|100
0|2021-11-13|588.0|0|588.0|0|4.0|0|0.0|100
0|2021-11-14|588.0|0|588.0|0|4.0|0|0.0|100
0|2021-11-15|591.0|0|591.0|0|4.0|0|0.0|100
0|2021-11-16|596.0|0|596.0|0|4.0|0|0.0|100
0|2021-11-17|599.0|0|599.0|0|4.0|0|0.0|100
0|2021-11-18|604.0|0|604.0|0|4.0|0|0.0|100
0|2021-11-19|605.0|0|605.0|0|4.0|0|0.0|100
0|2021-11-20|605.0|0|605.0|0|4.0|0|0.0|100
0|2021-11-21|605.0|0|605.0|0|4.0|0|0.0|100
0|2021-11-22|612.0|0|612.0|0|4.0|0|0.0|100
0|2021-11-23|617.0|0|617.0|0|4.0|0|0.0|100
0|2021-11-24|625.0|0|625.0|0|5.0|0|0.0|100
0|2021-11-25|625.0|0|625.0|0|5.0|0|0.0|100
0|2021-11-26|625.0|0|625.0|0|5.0|0|0.0|100
0|2021-11-27|625.0|0|625.0|0|5.0|0|0.0|100
0|2021-11-28|625.0|0|625.0|0|5.0|0|0.0|100
0|2021-11-29|633.0|0|633.0|0|5.0|0|0.0|100
0|2021-11-30|638.0|0|638.0|0|5.0|0|0.0|100
0|2021-12-01|643.0|0|643.0|0|5.0|0|0.0|100
0|2021-12-02|643.0|0|649.0|0|5.0|0|0.0|100
0|2021-12-03|654.0|0|654.0|0|5.0|0|0.0|100
0|2021-12-04|654.0|0|654.0|0|5.0|0|0.0|100
0|2021-12-05|654.0|0|654.0|0|5.0|0|0.0|100
0|2021-12-06|659.0|0|659.0|0|5.0|0|0.0|100
0|2021-12-07|665.0|0|665.0|0|5.0|0|0.0|100
0|2021-12-08|667.0|0|667.0|0|5.0|0|0.0|100
0|2021-12-09|676.0|0|676.0|0|5.0|0|0.0|100
0|2021-12-10|679.0|0|679.0|0|5.0|0|0.0|100
0|2021-12-11|679.0|0|679.0|0|5.0|0|0.0|100
0|2021-12-12|679.0|0|679.0|0|5.0|0|0.0|100
0|2021-12-13|689.0|0|689.0|0|5.0|0|0.0|100
0|2021-12-14|689.0|0|699.0|0|5.0|0|0.0|100
0|2021-12-15|705.0|0|705.0|0|5.0|0|0.0|100
0|2021-12-16|715.0|0|715.0|0|5.0|0|0.0|100
0|2021-12-17|720.0|0|720.0|0|5.0|0|0.0|100
0|2021-12-18|720.0|0|720.0|0|5.0|0|0.0|100
0|2021-12-19|720.0|0|720.0|0|5.0|0|0.0|100
0|2021-12-20|732.0|0|732.0|0|5.0|0|0.0|100
0|2021-12-21|739.0|0|739.0|0|5.0|0|0.0|100
0|2021-12-22|746.0|0|746.0|0|6.0|0|0.0|100
0|2021-12-23|749.0|0|749.0|0|6.0|0|0.0|100
0|2021-12-24|749.0|0|749.0|0|6.0|0|0.0|100
0|2021-12-25|749.0|0|749.0|0|6.0|0|0.0|100
0|2021-12-26|749.0|0|749.0|0|6.0|0|0.0|100
0|2021-12-27|765.0|0|765.0|0|7.0|0|0.0|100
0|2021-12-28|769.0|0|769.0|0|7.0|0|0.0|100
0|2021-12-29|778.0|0|778.0|0|7.0|0|0.0|100
0|2021-12-30|787.0|0|787.0|0|7.0|0|0.0|100
0|2021-12-31|787.0|0|787.0|0|7.0|0|0.0|100
0|2022-01-01|787.0|0|787.0|0|7.0|0|0.0|100
0|2022-01-02|787.0|0|787.0|0|7.0|0|0.0|100
0|2022-01-03|811.0|0|811.0|0|7.0|0|0.0|100
0|2022-01-04|825.0|0|825.0|0|7.0|0|0.0|100
0|2022-01-05|843.0|0|843.0|0|7.0|0|0.0|100
0|2022-01-06|847.0|0|847.0|0|7.0|0|0.0|100
0|2022-01-07|862.0|0|862.0|0|7.0|0|0.0|100
0|2022-01-08|862.0|0|862.0|0|7.0|0|0.0|100
0|2022-01-09|862.0|0|862.0|0|7.0|0|0.0|100
0|2022-01-10|880.0|0|880.0|0|7.0|0|0.0|100
