|dates|McPherson_Kansas_UnitedStates.JHU_ConfirmedCases.data|McPherson_Kansas_UnitedStates.JHU_ConfirmedCases.missing|McPherson_Kansas_UnitedStates.NYT_ConfirmedCases.data|McPherson_Kansas_UnitedStates.NYT_ConfirmedCases.missing|McPherson_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|McPherson_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|McPherson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|McPherson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4327.0|0|4327.0|0|93.0|0|0.0|100
0|2021-10-18|4353.0|0|4353.0|0|93.0|0|0.0|100
0|2021-10-19|4353.0|0|4442.0|0|93.0|0|0.0|100
0|2021-10-20|4397.0|0|4442.0|0|93.0|0|0.0|100
0|2021-10-21|4397.0|0|4468.0|0|93.0|0|0.0|100
0|2021-10-22|4416.0|0|4468.0|0|94.0|0|0.0|100
0|2021-10-23|4416.0|0|4468.0|0|94.0|0|0.0|100
0|2021-10-24|4416.0|0|4468.0|0|94.0|0|0.0|100
0|2021-10-25|4430.0|0|4468.0|0|94.0|0|0.0|100
0|2021-10-26|4430.0|0|4468.0|0|94.0|0|0.0|100
0|2021-10-27|4467.0|0|4524.0|0|97.0|0|0.0|100
0|2021-10-28|4467.0|0|4554.0|0|97.0|0|0.0|100
0|2021-10-29|4497.0|0|4554.0|0|97.0|0|0.0|100
0|2021-10-30|4497.0|0|4554.0|0|97.0|0|0.0|100
0|2021-10-31|4497.0|0|4554.0|0|97.0|0|0.0|100
0|2021-11-01|4523.0|0|4554.0|0|97.0|0|0.0|100
0|2021-11-02|4523.0|0|4554.0|0|97.0|0|0.0|100
0|2021-11-03|4571.0|0|4571.0|0|97.0|0|0.0|100
0|2021-11-04|4571.0|0|4658.0|0|97.0|0|0.0|100
0|2021-11-05|4603.0|0|4658.0|0|97.0|0|0.0|100
0|2021-11-06|4603.0|0|4658.0|0|97.0|0|0.0|100
0|2021-11-07|4603.0|0|4658.0|0|97.0|0|0.0|100
0|2021-11-08|4633.0|0|4658.0|0|97.0|0|0.0|100
0|2021-11-09|4633.0|0|4738.0|0|97.0|0|0.0|100
0|2021-11-10|4688.0|0|4738.0|0|98.0|0|0.0|100
