|dates|Sumter_Florida_UnitedStates.JHU_ConfirmedCases.data|Sumter_Florida_UnitedStates.JHU_ConfirmedCases.missing|Sumter_Florida_UnitedStates.NYT_ConfirmedCases.data|Sumter_Florida_UnitedStates.NYT_ConfirmedCases.missing|Sumter_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Sumter_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Sumter_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Sumter_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|15128.0|0|15017.0|0|284.0|0|0.0|100
0|2021-12-29|15128.0|0|15017.0|0|284.0|0|0.0|100
0|2021-12-30|15128.0|0|15017.0|0|284.0|0|0.0|100
0|2021-12-31|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-01|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-02|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-03|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-04|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-05|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-06|15516.0|0|15405.0|0|284.0|0|0.0|100
0|2022-01-07|16339.0|0|16228.0|0|284.0|0|0.0|100
0|2022-01-08|16339.0|0|16228.0|0|284.0|0|0.0|100
0|2022-01-09|16339.0|0|16228.0|0|284.0|0|0.0|100
0|2022-01-10|16339.0|0|16228.0|0|284.0|0|0.0|100
0|2022-01-11|16339.0|0|16228.0|0|284.0|0|0.0|100
0|2022-01-12|16339.0|0|16228.0|0|477.0|0|0.0|100
0|2022-01-13|16339.0|0|16228.0|0|477.0|0|0.0|100
0|2022-01-14|16339.0|0|17476.0|0|477.0|0|0.0|100
0|2022-01-15|17587.0|0|17476.0|0|477.0|0|0.0|100
0|2022-01-16|17587.0|0|17476.0|0|477.0|0|0.0|100
0|2022-01-17|17587.0|0|0.0|100|477.0|0|0.0|100
