|dates|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedCases.data|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedCases.missing|ClearCreek_Colorado_UnitedStates.NYT_ConfirmedCases.data|ClearCreek_Colorado_UnitedStates.NYT_ConfirmedCases.missing|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|ClearCreek_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|748.0|0|748.0|0|5.0|0|0.0|100
0|2021-10-18|754.0|0|754.0|0|5.0|0|0.0|100
0|2021-10-19|753.0|0|753.0|0|5.0|0|0.0|100
0|2021-10-20|756.0|0|756.0|0|5.0|0|0.0|100
0|2021-10-21|762.0|0|762.0|0|5.0|0|0.0|100
0|2021-10-22|762.0|0|762.0|0|5.0|0|0.0|100
0|2021-10-23|762.0|0|762.0|0|5.0|0|0.0|100
0|2021-10-24|762.0|0|762.0|0|5.0|0|0.0|100
0|2021-10-25|770.0|0|770.0|0|5.0|0|0.0|100
0|2021-10-26|774.0|0|774.0|0|5.0|0|0.0|100
0|2021-10-27|775.0|0|775.0|0|5.0|0|0.0|100
0|2021-10-28|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-10-29|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-10-30|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-10-31|779.0|0|779.0|0|5.0|0|0.0|100
0|2021-11-01|791.0|0|791.0|0|5.0|0|0.0|100
0|2021-11-02|793.0|0|793.0|0|5.0|0|0.0|100
0|2021-11-03|797.0|0|797.0|0|5.0|0|0.0|100
0|2021-11-04|799.0|0|799.0|0|5.0|0|0.0|100
0|2021-11-05|804.0|0|804.0|0|5.0|0|0.0|100
0|2021-11-06|804.0|0|804.0|0|5.0|0|0.0|100
0|2021-11-07|804.0|0|804.0|0|5.0|0|0.0|100
0|2021-11-08|811.0|0|811.0|0|5.0|0|0.0|100
0|2021-11-09|811.0|0|811.0|0|6.0|0|0.0|100
0|2021-11-10|811.0|0|815.0|0|6.0|0|0.0|100
0|2021-11-11|820.0|0|820.0|0|6.0|0|0.0|100
0|2021-11-12|823.0|0|823.0|0|6.0|0|0.0|100
0|2021-11-13|823.0|0|823.0|0|6.0|0|0.0|100
0|2021-11-14|823.0|0|823.0|0|6.0|0|0.0|100
0|2021-11-15|836.0|0|836.0|0|6.0|0|0.0|100
0|2021-11-16|840.0|0|840.0|0|6.0|0|0.0|100
0|2021-11-17|845.0|0|845.0|0|6.0|0|0.0|100
0|2021-11-18|857.0|0|857.0|0|6.0|0|0.0|100
0|2021-11-19|862.0|0|862.0|0|6.0|0|0.0|100
0|2021-11-20|862.0|0|862.0|0|6.0|0|0.0|100
0|2021-11-21|862.0|0|862.0|0|6.0|0|0.0|100
0|2021-11-22|875.0|0|875.0|0|6.0|0|0.0|100
0|2021-11-23|875.0|0|875.0|0|6.0|0|0.0|100
0|2021-11-24|878.0|0|878.0|0|6.0|0|0.0|100
0|2021-11-25|884.0|0|884.0|0|6.0|0|0.0|100
0|2021-11-26|885.0|0|884.0|0|6.0|0|0.0|100
0|2021-11-27|885.0|0|884.0|0|6.0|0|0.0|100
0|2021-11-28|885.0|0|885.0|0|6.0|0|0.0|100
0|2021-11-29|891.0|0|891.0|0|6.0|0|0.0|100
0|2021-11-30|891.0|0|894.0|0|6.0|0|0.0|100
0|2021-12-01|895.0|0|895.0|0|6.0|0|0.0|100
0|2021-12-02|895.0|0|895.0|0|6.0|0|0.0|100
0|2021-12-03|899.0|0|897.0|0|6.0|0|0.0|100
0|2021-12-04|899.0|0|899.0|0|6.0|0|0.0|100
0|2021-12-05|899.0|0|899.0|0|6.0|0|0.0|100
0|2021-12-06|904.0|0|904.0|0|6.0|0|0.0|100
0|2021-12-07|910.0|0|910.0|0|7.0|0|0.0|100
0|2021-12-08|911.0|0|911.0|0|7.0|0|0.0|100
0|2021-12-09|914.0|0|914.0|0|7.0|0|0.0|100
0|2021-12-10|917.0|0|917.0|0|7.0|0|0.0|100
0|2021-12-11|917.0|0|917.0|0|7.0|0|0.0|100
0|2021-12-12|917.0|0|917.0|0|7.0|0|0.0|100
0|2021-12-13|920.0|0|920.0|0|7.0|0|0.0|100
0|2021-12-14|920.0|0|921.0|0|7.0|0|0.0|100
0|2021-12-15|923.0|0|923.0|0|7.0|0|0.0|100
0|2021-12-16|925.0|0|925.0|0|7.0|0|0.0|100
0|2021-12-17|929.0|0|929.0|0|7.0|0|0.0|100
0|2021-12-18|929.0|0|929.0|0|7.0|0|0.0|100
0|2021-12-19|929.0|0|929.0|0|7.0|0|0.0|100
0|2021-12-20|935.0|0|935.0|0|7.0|0|0.0|100
0|2021-12-21|940.0|0|940.0|0|7.0|0|0.0|100
0|2021-12-22|941.0|0|941.0|0|7.0|0|0.0|100
0|2021-12-23|947.0|0|947.0|0|7.0|0|0.0|100
0|2021-12-24|954.0|0|954.0|0|7.0|0|0.0|100
0|2021-12-25|954.0|0|954.0|0|7.0|0|0.0|100
0|2021-12-26|954.0|0|954.0|0|7.0|0|0.0|100
0|2021-12-27|967.0|0|967.0|0|7.0|0|0.0|100
0|2021-12-28|972.0|0|972.0|0|7.0|0|0.0|100
0|2021-12-29|979.0|0|979.0|0|7.0|0|0.0|100
0|2021-12-30|986.0|0|986.0|0|7.0|0|0.0|100
0|2021-12-31|1006.0|0|1006.0|0|7.0|0|0.0|100
0|2022-01-01|1006.0|0|1006.0|0|7.0|0|0.0|100
0|2022-01-02|1006.0|0|1006.0|0|7.0|0|0.0|100
0|2022-01-03|1039.0|0|1039.0|0|7.0|0|0.0|100
0|2022-01-04|1046.0|0|1046.0|0|7.0|0|0.0|100
0|2022-01-05|1061.0|0|1061.0|0|7.0|0|0.0|100
0|2022-01-06|1064.0|0|1064.0|0|8.0|0|0.0|100
0|2022-01-07|1066.0|0|1066.0|0|8.0|0|0.0|100
0|2022-01-08|1066.0|0|1066.0|0|8.0|0|0.0|100
0|2022-01-09|1066.0|0|1066.0|0|8.0|0|0.0|100
0|2022-01-10|1161.0|0|1161.0|0|9.0|0|0.0|100
0|2022-01-11|1184.0|0|1184.0|0|9.0|0|0.0|100
0|2022-01-12|1193.0|0|1193.0|0|9.0|0|0.0|100
0|2022-01-13|1193.0|0|1227.0|0|9.0|0|0.0|100
0|2022-01-14|1254.0|0|1241.0|0|10.0|0|0.0|100
0|2022-01-15|1254.0|0|1254.0|0|10.0|0|0.0|100
0|2022-01-16|1254.0|0|1254.0|0|10.0|0|0.0|100
0|2022-01-17|1277.0|0|0.0|100|10.0|0|0.0|100
