|dates|Burlington_NewJersey_UnitedStates.BLS_EmployedPopulation.data|Burlington_NewJersey_UnitedStates.BLS_EmployedPopulation.missing|Burlington_NewJersey_UnitedStates.BLS_UnemployedPopulation.data|Burlington_NewJersey_UnitedStates.BLS_UnemployedPopulation.missing|Burlington_NewJersey_UnitedStates.BLS_UnemploymentRate.data|Burlington_NewJersey_UnitedStates.BLS_UnemploymentRate.missing|Burlington_NewJersey_UnitedStates.BLS_LaborForcePopulation.data|Burlington_NewJersey_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-18|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-19|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-20|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-21|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-22|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-23|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-24|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-25|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-26|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-27|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-28|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-29|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-30|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-10-31|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-01|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-02|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-03|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-04|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-05|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-06|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-07|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-08|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-09|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-10|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-11|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-12|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-13|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-14|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-15|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-16|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-17|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
0|2021-11-18|215372.0|0|12914.0|0|5.656939102704502|0|228286.0|0
