|dates|Scioto_Ohio_UnitedStates.JHU_ConfirmedCases.data|Scioto_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Scioto_Ohio_UnitedStates.NYT_ConfirmedCases.data|Scioto_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Scioto_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Scioto_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Scioto_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Scioto_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11356.0|0|11356.0|0|175.0|0|0.0|100
0|2021-10-18|11388.0|0|11388.0|0|176.0|0|0.0|100
0|2021-10-19|11400.0|0|11400.0|0|176.0|0|0.0|100
0|2021-10-20|11418.0|0|11418.0|0|176.0|0|0.0|100
0|2021-10-21|11432.0|0|11432.0|0|177.0|0|0.0|100
0|2021-10-22|11452.0|0|11452.0|0|177.0|0|0.0|100
0|2021-10-23|11469.0|0|11469.0|0|177.0|0|0.0|100
0|2021-10-24|11483.0|0|11483.0|0|177.0|0|0.0|100
0|2021-10-25|11497.0|0|11497.0|0|177.0|0|0.0|100
0|2021-10-26|11529.0|0|11529.0|0|177.0|0|0.0|100
0|2021-10-27|11547.0|0|11547.0|0|177.0|0|0.0|100
0|2021-10-28|11556.0|0|11556.0|0|177.0|0|0.0|100
0|2021-10-29|11579.0|0|11579.0|0|177.0|0|0.0|100
0|2021-10-30|11591.0|0|11591.0|0|177.0|0|0.0|100
0|2021-10-31|11608.0|0|11608.0|0|177.0|0|0.0|100
0|2021-11-01|11619.0|0|11619.0|0|177.0|0|0.0|100
0|2021-11-02|11650.0|0|11650.0|0|177.0|0|0.0|100
0|2021-11-03|11658.0|0|11658.0|0|177.0|0|0.0|100
0|2021-11-04|11680.0|0|11680.0|0|177.0|0|0.0|100
0|2021-11-05|11705.0|0|11705.0|0|177.0|0|0.0|100
0|2021-11-06|11732.0|0|11732.0|0|177.0|0|0.0|100
0|2021-11-07|11737.0|0|11737.0|0|177.0|0|0.0|100
0|2021-11-08|11752.0|0|11752.0|0|177.0|0|0.0|100
0|2021-11-09|11777.0|0|11777.0|0|177.0|0|0.0|100
0|2021-11-10|11799.0|0|11799.0|0|177.0|0|0.0|100
0|2021-11-11|11818.0|0|11818.0|0|177.0|0|0.0|100
0|2021-11-12|11831.0|0|11831.0|0|179.0|0|0.0|100
0|2021-11-13|11843.0|0|11843.0|0|179.0|0|0.0|100
0|2021-11-14|11845.0|0|11845.0|0|179.0|0|0.0|100
0|2021-11-15|11852.0|0|11852.0|0|179.0|0|0.0|100
0|2021-11-16|11879.0|0|11879.0|0|180.0|0|0.0|100
0|2021-11-17|11907.0|0|11907.0|0|180.0|0|0.0|100
0|2021-11-18|11934.0|0|11934.0|0|180.0|0|0.0|100
0|2021-11-19|11951.0|0|11951.0|0|180.0|0|0.0|100
0|2021-11-20|11963.0|0|11963.0|0|180.0|0|0.0|100
0|2021-11-21|11966.0|0|11966.0|0|180.0|0|0.0|100
0|2021-11-22|11991.0|0|11991.0|0|180.0|0|0.0|100
0|2021-11-23|12047.0|0|12047.0|0|180.0|0|0.0|100
