|dates|Morgan_Colorado_UnitedStates.JHU_ConfirmedCases.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Colorado_UnitedStates.NYT_ConfirmedCases.data|Morgan_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3264.0|0|3264.0|0|98.0|0|0.0|100
0|2021-10-18|3303.0|0|3303.0|0|98.0|0|0.0|100
0|2021-10-19|3319.0|0|3319.0|0|98.0|0|0.0|100
0|2021-10-20|3333.0|0|3333.0|0|98.0|0|0.0|100
0|2021-10-21|3347.0|0|3347.0|0|99.0|0|0.0|100
0|2021-10-22|3375.0|0|3375.0|0|99.0|0|0.0|100
0|2021-10-23|3375.0|0|3375.0|0|99.0|0|0.0|100
0|2021-10-24|3375.0|0|3375.0|0|99.0|0|0.0|100
0|2021-10-25|3412.0|0|3412.0|0|99.0|0|0.0|100
0|2021-10-26|3427.0|0|3427.0|0|99.0|0|0.0|100
0|2021-10-27|3445.0|0|3445.0|0|99.0|0|0.0|100
0|2021-10-28|3460.0|0|3460.0|0|99.0|0|0.0|100
0|2021-10-29|3470.0|0|3470.0|0|99.0|0|0.0|100
0|2021-10-30|3470.0|0|3470.0|0|99.0|0|0.0|100
0|2021-10-31|3470.0|0|3470.0|0|99.0|0|0.0|100
0|2021-11-01|3516.0|0|3516.0|0|99.0|0|0.0|100
0|2021-11-02|3529.0|0|3529.0|0|99.0|0|0.0|100
0|2021-11-03|3551.0|0|3551.0|0|99.0|0|0.0|100
0|2021-11-04|3569.0|0|3569.0|0|99.0|0|0.0|100
0|2021-11-05|3586.0|0|3586.0|0|99.0|0|0.0|100
0|2021-11-06|3586.0|0|3586.0|0|99.0|0|0.0|100
0|2021-11-07|3586.0|0|3586.0|0|99.0|0|0.0|100
0|2021-11-08|3625.0|0|3625.0|0|101.0|0|0.0|100
0|2021-11-09|3644.0|0|3644.0|0|101.0|0|0.0|100
0|2021-11-10|3644.0|0|3664.0|0|101.0|0|0.0|100
0|2021-11-11|3681.0|0|3681.0|0|101.0|0|0.0|100
0|2021-11-12|3697.0|0|3697.0|0|101.0|0|0.0|100
0|2021-11-13|3697.0|0|3697.0|0|101.0|0|0.0|100
0|2021-11-14|3697.0|0|3697.0|0|101.0|0|0.0|100
0|2021-11-15|3734.0|0|3734.0|0|102.0|0|0.0|100
0|2021-11-16|3759.0|0|3759.0|0|102.0|0|0.0|100
0|2021-11-17|3788.0|0|3788.0|0|103.0|0|0.0|100
0|2021-11-18|3804.0|0|3804.0|0|104.0|0|0.0|100
0|2021-11-19|3825.0|0|3825.0|0|104.0|0|0.0|100
0|2021-11-20|3825.0|0|3825.0|0|104.0|0|0.0|100
0|2021-11-21|3825.0|0|3825.0|0|104.0|0|0.0|100
0|2021-11-22|3869.0|0|3869.0|0|106.0|0|0.0|100
0|2021-11-23|3896.0|0|3896.0|0|107.0|0|0.0|100
0|2021-11-24|3914.0|0|3914.0|0|107.0|0|0.0|100
0|2021-11-25|3927.0|0|3927.0|0|107.0|0|0.0|100
0|2021-11-26|3932.0|0|3927.0|0|107.0|0|0.0|100
0|2021-11-27|3932.0|0|3927.0|0|107.0|0|0.0|100
0|2021-11-28|3932.0|0|3932.0|0|107.0|0|0.0|100
