|dates|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Lackawanna_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Lackawanna_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22271.0|0|22271.0|0|510.0|0|0.0|100
0|2021-10-18|22311.0|0|22311.0|0|511.0|0|0.0|100
0|2021-10-19|22347.0|0|22347.0|0|512.0|0|0.0|100
0|2021-10-20|22371.0|0|22371.0|0|513.0|0|0.0|100
0|2021-10-21|22419.0|0|22419.0|0|514.0|0|0.0|100
0|2021-10-22|22472.0|0|22472.0|0|515.0|0|0.0|100
0|2021-10-23|22512.0|0|22512.0|0|515.0|0|0.0|100
0|2021-10-24|22549.0|0|22549.0|0|515.0|0|0.0|100
0|2021-10-25|22575.0|0|22575.0|0|515.0|0|0.0|100
0|2021-10-26|22604.0|0|22604.0|0|516.0|0|0.0|100
0|2021-10-27|22644.0|0|22644.0|0|517.0|0|0.0|100
0|2021-10-28|22685.0|0|22685.0|0|517.0|0|0.0|100
0|2021-10-29|22737.0|0|22737.0|0|517.0|0|0.0|100
0|2021-10-30|22787.0|0|22787.0|0|517.0|0|0.0|100
0|2021-10-31|22841.0|0|22841.0|0|517.0|0|0.0|100
0|2021-11-01|22841.0|0|22841.0|0|517.0|0|0.0|100
0|2021-11-02|22912.0|0|22912.0|0|517.0|0|0.0|100
0|2021-11-03|22979.0|0|22979.0|0|520.0|0|0.0|100
0|2021-11-04|23034.0|0|23034.0|0|520.0|0|0.0|100
0|2021-11-05|23106.0|0|23106.0|0|520.0|0|0.0|100
0|2021-11-06|23165.0|0|23165.0|0|521.0|0|0.0|100
0|2021-11-07|23221.0|0|23221.0|0|521.0|0|0.0|100
0|2021-11-08|23264.0|0|23264.0|0|521.0|0|0.0|100
0|2021-11-09|23339.0|0|23339.0|0|523.0|0|0.0|100
0|2021-11-10|23428.0|0|23428.0|0|525.0|0|0.0|100
0|2021-11-11|23506.0|0|23506.0|0|525.0|0|0.0|100
0|2021-11-12|23604.0|0|23604.0|0|526.0|0|0.0|100
0|2021-11-13|23930.0|0|23930.0|0|526.0|0|0.0|100
0|2021-11-14|23996.0|0|23996.0|0|527.0|0|0.0|100
0|2021-11-15|24038.0|0|24038.0|0|527.0|0|0.0|100
0|2021-11-16|24134.0|0|24134.0|0|527.0|0|0.0|100
0|2021-11-17|24236.0|0|24236.0|0|531.0|0|0.0|100
0|2021-11-18|24359.0|0|24359.0|0|531.0|0|0.0|100
0|2021-11-19|24458.0|0|24458.0|0|534.0|0|0.0|100
0|2021-11-20|24544.0|0|24544.0|0|536.0|0|0.0|100
0|2021-11-21|24629.0|0|24629.0|0|536.0|0|0.0|100
0|2021-11-22|24682.0|0|24682.0|0|537.0|0|0.0|100
0|2021-11-23|24791.0|0|24791.0|0|539.0|0|0.0|100
0|2021-11-24|24908.0|0|24908.0|0|542.0|0|0.0|100
0|2021-11-25|25056.0|0|25056.0|0|544.0|0|0.0|100
0|2021-11-26|25143.0|0|25143.0|0|544.0|0|0.0|100
0|2021-11-27|25223.0|0|25223.0|0|544.0|0|0.0|100
0|2021-11-28|25284.0|0|25284.0|0|544.0|0|0.0|100
0|2021-11-29|25358.0|0|25358.0|0|545.0|0|0.0|100
0|2021-11-30|25477.0|0|25477.0|0|547.0|0|0.0|100
0|2021-12-01|25592.0|0|25592.0|0|549.0|0|0.0|100
0|2021-12-02|25733.0|0|25733.0|0|549.0|0|0.0|100
