|dates|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.data|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bowie_Texas_UnitedStates.NYT_ConfirmedCases.data|Bowie_Texas_UnitedStates.NYT_ConfirmedCases.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12611.0|0|12611.0|0|316.0|0|0.0|100
0|2021-10-18|12611.0|0|12611.0|0|316.0|0|0.0|100
0|2021-10-19|12640.0|0|12640.0|0|317.0|0|0.0|100
0|2021-10-20|12653.0|0|12653.0|0|317.0|0|0.0|100
0|2021-10-21|12660.0|0|12660.0|0|317.0|0|0.0|100
0|2021-10-22|12678.0|0|12678.0|0|317.0|0|0.0|100
0|2021-10-23|12678.0|0|12678.0|0|317.0|0|0.0|100
0|2021-10-24|12687.0|0|12687.0|0|318.0|0|0.0|100
0|2021-10-25|12687.0|0|12687.0|0|318.0|0|0.0|100
0|2021-10-26|12714.0|0|12714.0|0|319.0|0|0.0|100
0|2021-10-27|12687.0|0|12687.0|0|320.0|0|0.0|100
0|2021-10-28|12683.0|0|12683.0|0|321.0|0|0.0|100
0|2021-10-29|12697.0|0|12697.0|0|325.0|0|0.0|100
0|2021-10-30|12715.0|0|12715.0|0|325.0|0|0.0|100
0|2021-10-31|12715.0|0|12715.0|0|325.0|0|0.0|100
0|2021-11-01|12715.0|0|12715.0|0|325.0|0|0.0|100
0|2021-11-02|12733.0|0|12733.0|0|328.0|0|0.0|100
0|2021-11-03|12740.0|0|12740.0|0|329.0|0|0.0|100
0|2021-11-04|12750.0|0|12750.0|0|330.0|0|0.0|100
0|2021-11-05|12757.0|0|12757.0|0|331.0|0|0.0|100
0|2021-11-06|12773.0|0|12773.0|0|332.0|0|0.0|100
