|dates|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Goodhue_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Goodhue_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Goodhue_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6036.0|0|6036.0|0|83.0|0|0.0|100
0|2021-10-18|6085.0|0|6085.0|0|84.0|0|0.0|100
0|2021-10-19|6147.0|0|6147.0|0|84.0|0|0.0|100
0|2021-10-20|6167.0|0|6167.0|0|84.0|0|0.0|100
0|2021-10-21|6194.0|0|6194.0|0|85.0|0|0.0|100
0|2021-10-22|6199.0|0|6199.0|0|85.0|0|0.0|100
0|2021-10-23|6199.0|0|6199.0|0|85.0|0|0.0|100
0|2021-10-24|6199.0|0|6199.0|0|85.0|0|0.0|100
0|2021-10-25|6221.0|0|6221.0|0|85.0|0|0.0|100
0|2021-10-26|6312.0|0|6312.0|0|85.0|0|0.0|100
0|2021-10-27|6322.0|0|6322.0|0|85.0|0|0.0|100
0|2021-10-28|6341.0|0|6341.0|0|87.0|0|0.0|100
0|2021-10-29|6393.0|0|6393.0|0|87.0|0|0.0|100
0|2021-10-30|6393.0|0|6393.0|0|87.0|0|0.0|100
0|2021-10-31|6393.0|0|6393.0|0|87.0|0|0.0|100
0|2021-11-01|6472.0|0|6472.0|0|87.0|0|0.0|100
0|2021-11-02|6550.0|0|6550.0|0|87.0|0|0.0|100
0|2021-11-03|6586.0|0|6586.0|0|88.0|0|0.0|100
0|2021-11-04|6650.0|0|6650.0|0|88.0|0|0.0|100
0|2021-11-05|6693.0|0|6693.0|0|88.0|0|0.0|100
0|2021-11-06|6693.0|0|6693.0|0|88.0|0|0.0|100
0|2021-11-07|6693.0|0|6693.0|0|88.0|0|0.0|100
0|2021-11-08|6743.0|0|6743.0|0|89.0|0|0.0|100
0|2021-11-09|6878.0|0|6878.0|0|89.0|0|0.0|100
0|2021-11-10|6967.0|0|6967.0|0|90.0|0|0.0|100
