|dates|SantaRosa_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SantaRosa_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SantaRosa_Florida_UnitedStates.Male_Total_Population.data|SantaRosa_Florida_UnitedStates.Male_Total_Population.missing|SantaRosa_Florida_UnitedStates.Female_Total_Population.data|SantaRosa_Florida_UnitedStates.Female_Total_Population.missing|SantaRosa_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|SantaRosa_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-18|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-19|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-20|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-21|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-22|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-23|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-24|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-25|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-26|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-27|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-28|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-29|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-30|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-10-31|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-01|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-02|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-03|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-04|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-05|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-06|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-07|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-08|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-09|28645.0|0|91404.0|0|87945.0|0|39352.0|0
0|2021-11-10|28645.0|0|91404.0|0|87945.0|0|39352.0|0
