|dates|Lake_Ohio_UnitedStates.JHU_ConfirmedCases.data|Lake_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Lake_Ohio_UnitedStates.NYT_ConfirmedCases.data|Lake_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Lake_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|26609.0|0|26609.0|0|457.0|0|0.0|100
0|2021-10-18|26669.0|0|26669.0|0|457.0|0|0.0|100
0|2021-10-19|26743.0|0|26743.0|0|457.0|0|0.0|100
0|2021-10-20|26812.0|0|26812.0|0|458.0|0|0.0|100
0|2021-10-21|26907.0|0|26907.0|0|458.0|0|0.0|100
0|2021-10-22|26979.0|0|26979.0|0|458.0|0|0.0|100
0|2021-10-23|27063.0|0|27063.0|0|458.0|0|0.0|100
0|2021-10-24|27122.0|0|27122.0|0|458.0|0|0.0|100
0|2021-10-25|27179.0|0|27179.0|0|458.0|0|0.0|100
0|2021-10-26|27256.0|0|27256.0|0|458.0|0|0.0|100
0|2021-10-27|27328.0|0|27328.0|0|459.0|0|0.0|100
0|2021-10-28|27420.0|0|27420.0|0|459.0|0|0.0|100
0|2021-10-29|27501.0|0|27501.0|0|459.0|0|0.0|100
0|2021-10-30|27588.0|0|27588.0|0|460.0|0|0.0|100
0|2021-10-31|27647.0|0|27647.0|0|461.0|0|0.0|100
0|2021-11-01|27710.0|0|27710.0|0|461.0|0|0.0|100
0|2021-11-02|27791.0|0|27791.0|0|461.0|0|0.0|100
0|2021-11-03|27896.0|0|27896.0|0|461.0|0|0.0|100
0|2021-11-04|27992.0|0|27992.0|0|461.0|0|0.0|100
0|2021-11-05|28087.0|0|28087.0|0|461.0|0|0.0|100
0|2021-11-06|28155.0|0|28155.0|0|461.0|0|0.0|100
0|2021-11-07|28289.0|0|28289.0|0|461.0|0|0.0|100
0|2021-11-08|28348.0|0|28348.0|0|461.0|0|0.0|100
0|2021-11-09|28468.0|0|28468.0|0|468.0|0|0.0|100
0|2021-11-10|28468.0|0|28590.0|0|468.0|0|0.0|100
0|2021-11-11|28713.0|0|28713.0|0|468.0|0|0.0|100
0|2021-11-12|28857.0|0|28857.0|0|470.0|0|0.0|100
0|2021-11-13|28985.0|0|28985.0|0|470.0|0|0.0|100
0|2021-11-14|29089.0|0|29089.0|0|470.0|0|0.0|100
0|2021-11-15|29190.0|0|29190.0|0|470.0|0|0.0|100
0|2021-11-16|29326.0|0|29326.0|0|474.0|0|0.0|100
0|2021-11-17|29510.0|0|29510.0|0|474.0|0|0.0|100
0|2021-11-18|29689.0|0|29689.0|0|474.0|0|0.0|100
0|2021-11-19|29898.0|0|29898.0|0|482.0|0|0.0|100
0|2021-11-20|30110.0|0|30110.0|0|482.0|0|0.0|100
0|2021-11-21|30262.0|0|30262.0|0|482.0|0|0.0|100
0|2021-11-22|30372.0|0|30372.0|0|482.0|0|0.0|100
0|2021-11-23|30540.0|0|30540.0|0|486.0|0|0.0|100
0|2021-11-24|30757.0|0|30757.0|0|486.0|0|0.0|100
0|2021-11-25|30757.0|0|30757.0|0|486.0|0|0.0|100
0|2021-11-26|31044.0|0|31044.0|0|493.0|0|0.0|100
0|2021-11-27|31171.0|0|31171.0|0|493.0|0|0.0|100
0|2021-11-28|31317.0|0|31317.0|0|493.0|0|0.0|100
0|2021-11-29|31445.0|0|31445.0|0|493.0|0|0.0|100
0|2021-11-30|31622.0|0|31622.0|0|495.0|0|0.0|100
0|2021-12-01|31871.0|0|31871.0|0|495.0|0|0.0|100
0|2021-12-02|32124.0|0|32124.0|0|495.0|0|0.0|100
0|2021-12-03|32124.0|0|32314.0|0|495.0|0|0.0|100
0|2021-12-04|32510.0|0|32510.0|0|501.0|0|0.0|100
0|2021-12-05|32696.0|0|32696.0|0|501.0|0|0.0|100
0|2021-12-06|32818.0|0|32818.0|0|501.0|0|0.0|100
0|2021-12-07|33008.0|0|33008.0|0|506.0|0|0.0|100
0|2021-12-08|33218.0|0|33218.0|0|506.0|0|0.0|100
0|2021-12-09|33408.0|0|33408.0|0|506.0|0|0.0|100
0|2021-12-10|33618.0|0|33618.0|0|516.0|0|0.0|100
0|2021-12-11|33777.0|0|33777.0|0|516.0|0|0.0|100
0|2021-12-12|33935.0|0|33935.0|0|516.0|0|0.0|100
0|2021-12-13|34055.0|0|34055.0|0|516.0|0|0.0|100
0|2021-12-14|34055.0|0|34279.0|0|516.0|0|0.0|100
0|2021-12-15|34513.0|0|34513.0|0|519.0|0|0.0|100
0|2021-12-16|34809.0|0|34809.0|0|519.0|0|0.0|100
0|2021-12-17|35093.0|0|35093.0|0|519.0|0|0.0|100
0|2021-12-18|35418.0|0|35418.0|0|531.0|0|0.0|100
0|2021-12-19|35776.0|0|35776.0|0|531.0|0|0.0|100
0|2021-12-20|36057.0|0|36057.0|0|531.0|0|0.0|100
0|2021-12-21|36498.0|0|36498.0|0|533.0|0|0.0|100
0|2021-12-22|36964.0|0|36964.0|0|533.0|0|0.0|100
0|2021-12-23|37543.0|0|37543.0|0|533.0|0|0.0|100
0|2021-12-24|38115.0|0|38115.0|0|545.0|0|0.0|100
0|2021-12-25|38115.0|0|38115.0|0|545.0|0|0.0|100
0|2021-12-26|38907.0|0|38907.0|0|545.0|0|0.0|100
0|2021-12-27|39178.0|0|39178.0|0|545.0|0|0.0|100
0|2021-12-28|39592.0|0|39592.0|0|547.0|0|0.0|100
0|2021-12-29|40184.0|0|40184.0|0|547.0|0|0.0|100
0|2021-12-30|40619.0|0|40619.0|0|547.0|0|0.0|100
0|2021-12-31|41121.0|0|41121.0|0|556.0|0|0.0|100
0|2022-01-01|41121.0|0|41121.0|0|556.0|0|0.0|100
0|2022-01-02|42270.0|0|42270.0|0|556.0|0|0.0|100
0|2022-01-03|42676.0|0|42676.0|0|556.0|0|0.0|100
0|2022-01-04|42971.0|0|42971.0|0|557.0|0|0.0|100
0|2022-01-05|43293.0|0|43293.0|0|557.0|0|0.0|100
0|2022-01-06|43655.0|0|43655.0|0|557.0|0|0.0|100
0|2022-01-07|43904.0|0|43904.0|0|565.0|0|0.0|100
0|2022-01-08|44184.0|0|44184.0|0|565.0|0|0.0|100
0|2022-01-09|44577.0|0|44577.0|0|565.0|0|0.0|100
0|2022-01-10|44837.0|0|44837.0|0|565.0|0|0.0|100
0|2022-01-11|45094.0|0|45094.0|0|579.0|0|0.0|100
0|2022-01-12|45341.0|0|45341.0|0|579.0|0|0.0|100
0|2022-01-13|45341.0|0|45535.0|0|579.0|0|0.0|100
0|2022-01-14|45932.0|0|45932.0|0|586.0|0|0.0|100
0|2022-01-15|46434.0|0|46434.0|0|586.0|0|0.0|100
0|2022-01-16|46667.0|0|46667.0|0|586.0|0|0.0|100
0|2022-01-17|46850.0|0|0.0|100|586.0|0|0.0|100
