|dates|Cherokee_Alabama_UnitedStates.JHU_ConfirmedCases.data|Cherokee_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Cherokee_Alabama_UnitedStates.NYT_ConfirmedCases.data|Cherokee_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Cherokee_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Cherokee_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Cherokee_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Cherokee_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3000.0|0|3000.0|0|57.0|0|0.0|100
0|2021-10-18|3005.0|0|3005.0|0|57.0|0|0.0|100
0|2021-10-19|3009.0|0|3009.0|0|58.0|0|0.0|100
0|2021-10-20|3016.0|0|3016.0|0|60.0|0|0.0|100
0|2021-10-21|3017.0|0|3017.0|0|60.0|0|0.0|100
0|2021-10-22|3023.0|0|3023.0|0|60.0|0|0.0|100
0|2021-10-23|3028.0|0|3028.0|0|60.0|0|0.0|100
0|2021-10-24|3028.0|0|3028.0|0|60.0|0|0.0|100
0|2021-10-25|3029.0|0|3029.0|0|60.0|0|0.0|100
0|2021-10-26|3032.0|0|3032.0|0|60.0|0|0.0|100
0|2021-10-27|3055.0|0|3055.0|0|60.0|0|0.0|100
0|2021-10-28|3061.0|0|3061.0|0|60.0|0|0.0|100
0|2021-10-29|3066.0|0|3066.0|0|61.0|0|0.0|100
0|2021-10-30|3068.0|0|3068.0|0|61.0|0|0.0|100
0|2021-10-31|3068.0|0|3068.0|0|61.0|0|0.0|100
0|2021-11-01|3069.0|0|3069.0|0|61.0|0|0.0|100
0|2021-11-02|3071.0|0|3071.0|0|61.0|0|0.0|100
0|2021-11-03|3072.0|0|3072.0|0|62.0|0|0.0|100
0|2021-11-04|3082.0|0|3082.0|0|62.0|0|0.0|100
0|2021-11-05|3089.0|0|3089.0|0|62.0|0|0.0|100
0|2021-11-06|3093.0|0|3093.0|0|62.0|0|0.0|100
0|2021-11-07|3095.0|0|3095.0|0|62.0|0|0.0|100
0|2021-11-08|3096.0|0|3096.0|0|62.0|0|0.0|100
0|2021-11-09|3101.0|0|3101.0|0|62.0|0|0.0|100
0|2021-11-10|3103.0|0|3103.0|0|62.0|0|0.0|100
0|2021-11-11|3111.0|0|3111.0|0|62.0|0|0.0|100
0|2021-11-12|3112.0|0|3112.0|0|62.0|0|0.0|100
0|2021-11-13|3117.0|0|3117.0|0|62.0|0|0.0|100
0|2021-11-14|3119.0|0|3119.0|0|62.0|0|0.0|100
0|2021-11-15|3120.0|0|3120.0|0|62.0|0|0.0|100
0|2021-11-16|3124.0|0|3124.0|0|62.0|0|0.0|100
0|2021-11-17|3130.0|0|3130.0|0|62.0|0|0.0|100
0|2021-11-18|3132.0|0|3132.0|0|62.0|0|0.0|100
0|2021-11-19|3133.0|0|3133.0|0|62.0|0|0.0|100
0|2021-11-20|3140.0|0|3140.0|0|62.0|0|0.0|100
0|2021-11-21|3144.0|0|3144.0|0|62.0|0|0.0|100
0|2021-11-22|3144.0|0|3144.0|0|62.0|0|0.0|100
0|2021-11-23|3148.0|0|3148.0|0|62.0|0|0.0|100
0|2021-11-24|3161.0|0|3161.0|0|62.0|0|0.0|100
0|2021-11-25|3169.0|0|3169.0|0|63.0|0|0.0|100
0|2021-11-26|3169.0|0|3169.0|0|63.0|0|0.0|100
0|2021-11-27|3175.0|0|3175.0|0|63.0|0|0.0|100
0|2021-11-28|3177.0|0|3177.0|0|63.0|0|0.0|100
0|2021-11-29|3178.0|0|3178.0|0|63.0|0|0.0|100
0|2021-11-30|3183.0|0|3183.0|0|63.0|0|0.0|100
0|2021-12-01|3186.0|0|3186.0|0|63.0|0|0.0|100
0|2021-12-02|3195.0|0|3195.0|0|63.0|0|0.0|100
0|2021-12-03|3199.0|0|3199.0|0|64.0|0|0.0|100
0|2021-12-04|3203.0|0|3203.0|0|64.0|0|0.0|100
0|2021-12-05|3205.0|0|3205.0|0|64.0|0|0.0|100
0|2021-12-06|3205.0|0|3205.0|0|64.0|0|0.0|100
0|2021-12-07|3212.0|0|3212.0|0|64.0|0|0.0|100
0|2021-12-08|3222.0|0|3222.0|0|64.0|0|0.0|100
0|2021-12-09|3224.0|0|3224.0|0|64.0|0|0.0|100
0|2021-12-10|3226.0|0|3226.0|0|64.0|0|0.0|100
0|2021-12-11|3230.0|0|3230.0|0|64.0|0|0.0|100
0|2021-12-12|3232.0|0|3232.0|0|64.0|0|0.0|100
0|2021-12-13|3232.0|0|3232.0|0|64.0|0|0.0|100
0|2021-12-14|3232.0|0|3243.0|0|64.0|0|0.0|100
0|2021-12-15|3243.0|0|3243.0|0|64.0|0|0.0|100
0|2021-12-16|3248.0|0|3248.0|0|64.0|0|0.0|100
0|2021-12-17|3259.0|0|3259.0|0|64.0|0|0.0|100
0|2021-12-18|3261.0|0|3261.0|0|64.0|0|0.0|100
0|2021-12-19|3266.0|0|3266.0|0|64.0|0|0.0|100
0|2021-12-20|3266.0|0|3266.0|0|64.0|0|0.0|100
0|2021-12-21|3272.0|0|3272.0|0|64.0|0|0.0|100
0|2021-12-22|3279.0|0|3279.0|0|64.0|0|0.0|100
0|2021-12-23|3285.0|0|3285.0|0|65.0|0|0.0|100
0|2021-12-24|3289.0|0|3289.0|0|65.0|0|0.0|100
