|dates|Burt_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Burt_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Burt_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Burt_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Burt_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Burt_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Burt_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Burt_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|761.0|0|761.0|0|12.0|0|0.0|100
0|2021-10-18|766.0|0|766.0|0|12.0|0|0.0|100
0|2021-10-19|769.0|0|769.0|0|12.0|0|0.0|100
0|2021-10-20|769.0|0|769.0|0|12.0|0|0.0|100
0|2021-10-21|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-22|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-23|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-24|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-25|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-26|776.0|0|776.0|0|12.0|0|0.0|100
0|2021-10-27|790.0|0|790.0|0|12.0|0|0.0|100
0|2021-10-28|790.0|0|790.0|0|12.0|0|0.0|100
0|2021-10-29|790.0|0|792.0|0|12.0|0|0.0|100
0|2021-10-30|790.0|0|792.0|0|12.0|0|0.0|100
0|2021-10-31|790.0|0|795.0|0|12.0|0|0.0|100
0|2021-11-01|790.0|0|800.0|0|12.0|0|0.0|100
0|2021-11-02|790.0|0|800.0|0|12.0|0|0.0|100
0|2021-11-03|817.0|0|817.0|0|12.0|0|0.0|100
0|2021-11-04|817.0|0|817.0|0|12.0|0|0.0|100
0|2021-11-05|817.0|0|817.0|0|12.0|0|0.0|100
0|2021-11-06|817.0|0|817.0|0|12.0|0|0.0|100
0|2021-11-07|817.0|0|817.0|0|12.0|0|0.0|100
0|2021-11-08|832.0|0|832.0|0|12.0|0|0.0|100
0|2021-11-09|841.0|0|841.0|0|12.0|0|0.0|100
0|2021-11-10|848.0|0|848.0|0|12.0|0|0.0|100
0|2021-11-11|852.0|0|852.0|0|12.0|0|0.0|100
0|2021-11-12|857.0|0|857.0|0|12.0|0|0.0|100
0|2021-11-13|857.0|0|857.0|0|12.0|0|0.0|100
0|2021-11-14|857.0|0|857.0|0|12.0|0|0.0|100
0|2021-11-15|866.0|0|866.0|0|12.0|0|0.0|100
0|2021-11-16|866.0|0|866.0|0|12.0|0|0.0|100
0|2021-11-17|871.0|0|871.0|0|12.0|0|0.0|100
0|2021-11-18|872.0|0|872.0|0|12.0|0|0.0|100
0|2021-11-19|873.0|0|873.0|0|12.0|0|0.0|100
