|dates|Harris_Georgia_UnitedStates.JHU_ConfirmedCases.data|Harris_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Harris_Georgia_UnitedStates.NYT_ConfirmedCases.data|Harris_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Harris_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Harris_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Harris_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Harris_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3682.0|0|3686.0|0|83.0|0|0.0|100
0|2021-10-18|3692.0|0|3696.0|0|83.0|0|0.0|100
0|2021-10-19|3704.0|0|3708.0|0|83.0|0|0.0|100
0|2021-10-20|3717.0|0|3721.0|0|85.0|0|0.0|100
0|2021-10-21|3724.0|0|3728.0|0|85.0|0|0.0|100
0|2021-10-22|3728.0|0|3732.0|0|86.0|0|0.0|100
0|2021-10-23|3728.0|0|3732.0|0|86.0|0|0.0|100
0|2021-10-24|3728.0|0|3732.0|0|86.0|0|0.0|100
0|2021-10-25|3738.0|0|3743.0|0|86.0|0|0.0|100
0|2021-10-26|3743.0|0|3748.0|0|86.0|0|0.0|100
0|2021-10-27|3770.0|0|3775.0|0|86.0|0|0.0|100
0|2021-10-28|3775.0|0|3780.0|0|86.0|0|0.0|100
0|2021-10-29|3778.0|0|3783.0|0|86.0|0|0.0|100
0|2021-10-30|3778.0|0|3783.0|0|86.0|0|0.0|100
0|2021-10-31|3778.0|0|3783.0|0|86.0|0|0.0|100
0|2021-11-01|3779.0|0|3784.0|0|87.0|0|0.0|100
0|2021-11-02|3786.0|0|3791.0|0|88.0|0|0.0|100
0|2021-11-03|3792.0|0|3797.0|0|88.0|0|0.0|100
0|2021-11-04|3796.0|0|3801.0|0|88.0|0|0.0|100
0|2021-11-05|3802.0|0|3807.0|0|88.0|0|0.0|100
0|2021-11-06|3802.0|0|3807.0|0|88.0|0|0.0|100
0|2021-11-07|3802.0|0|3807.0|0|88.0|0|0.0|100
0|2021-11-08|3802.0|0|3807.0|0|88.0|0|0.0|100
0|2021-11-09|3808.0|0|3813.0|0|90.0|0|0.0|100
0|2021-11-10|3808.0|0|3813.0|0|90.0|0|0.0|100
0|2021-11-11|3808.0|0|3813.0|0|92.0|0|0.0|100
0|2021-11-12|3812.0|0|3817.0|0|93.0|0|0.0|100
0|2021-11-13|3812.0|0|3817.0|0|93.0|0|0.0|100
0|2021-11-14|3812.0|0|3817.0|0|93.0|0|0.0|100
0|2021-11-15|3816.0|0|3822.0|0|93.0|0|0.0|100
0|2021-11-16|3816.0|0|3822.0|0|93.0|0|0.0|100
0|2021-11-17|3825.0|0|3831.0|0|94.0|0|0.0|100
0|2021-11-18|3832.0|0|3838.0|0|94.0|0|0.0|100
