|dates|Placer_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Placer_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Placer_California_UnitedStates.Male_Total_Population.data|Placer_California_UnitedStates.Male_Total_Population.missing|Placer_California_UnitedStates.Female_Total_Population.data|Placer_California_UnitedStates.Female_Total_Population.missing|Placer_California_UnitedStates.MaleAndFemale_Under18_Population.data|Placer_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-25|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-26|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-27|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-28|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-29|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-30|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-10-31|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-25|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-26|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-27|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-28|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-29|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-11-30|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-18|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-19|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-20|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-21|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-22|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-23|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-24|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-25|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-26|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-27|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-28|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-29|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-30|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2021-12-31|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-01|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-02|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-03|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-04|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-05|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-06|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-07|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-08|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-09|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-10|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-11|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-12|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-13|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-14|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-15|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-16|76906.0|0|192147.0|0|201002.0|0|87441.0|0
0|2022-01-17|76906.0|0|192147.0|0|201002.0|0|87441.0|0
