|dates|Cobb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cobb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cobb_Georgia_UnitedStates.Male_Total_Population.data|Cobb_Georgia_UnitedStates.Male_Total_Population.missing|Cobb_Georgia_UnitedStates.Female_Total_Population.data|Cobb_Georgia_UnitedStates.Female_Total_Population.missing|Cobb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Cobb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-18|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-19|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-20|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-21|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-22|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-23|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-24|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-25|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-26|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-27|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-28|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-29|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-30|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-10-31|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-01|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-02|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-03|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-04|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-05|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-06|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-07|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-08|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-09|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-10|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-11|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-12|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-13|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-14|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-15|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-16|92777.0|0|366600.0|0|390265.0|0|178546.0|0
0|2021-11-17|92777.0|0|366600.0|0|390265.0|0|178546.0|0
