|dates|Schenectady_NewYork_UnitedStates.JHU_ConfirmedCases.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Schenectady_NewYork_UnitedStates.NYT_ConfirmedCases.data|Schenectady_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Schenectady_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Schenectady_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Schenectady_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|16525.0|0|16525.0|0|227.0|0|0.0|100
0|2021-10-18|16584.0|0|16584.0|0|227.0|0|0.0|100
0|2021-10-19|16592.0|0|16592.0|0|227.0|0|0.0|100
0|2021-10-20|16673.0|0|16673.0|0|227.0|0|0.0|100
0|2021-10-21|16731.0|0|16731.0|0|227.0|0|0.0|100
0|2021-10-22|16779.0|0|16779.0|0|228.0|0|0.0|100
0|2021-10-23|16876.0|0|16876.0|0|229.0|0|0.0|100
0|2021-10-24|16899.0|0|16899.0|0|229.0|0|0.0|100
0|2021-10-25|16970.0|0|16970.0|0|229.0|0|0.0|100
0|2021-10-26|16992.0|0|16992.0|0|229.0|0|0.0|100
0|2021-10-27|17072.0|0|17072.0|0|229.0|0|0.0|100
0|2021-10-28|17112.0|0|17112.0|0|229.0|0|0.0|100
0|2021-10-29|17208.0|0|17208.0|0|230.0|0|0.0|100
0|2021-10-30|17259.0|0|17259.0|0|230.0|0|0.0|100
0|2021-10-31|17317.0|0|17317.0|0|230.0|0|0.0|100
0|2021-11-01|17349.0|0|17349.0|0|232.0|0|0.0|100
0|2021-11-02|17369.0|0|17369.0|0|232.0|0|0.0|100
0|2021-11-03|17428.0|0|17428.0|0|232.0|0|0.0|100
0|2021-11-04|17480.0|0|17480.0|0|232.0|0|0.0|100
0|2021-11-05|17529.0|0|17529.0|0|233.0|0|0.0|100
0|2021-11-06|17590.0|0|17590.0|0|233.0|0|0.0|100
0|2021-11-07|17657.0|0|17657.0|0|233.0|0|0.0|100
0|2021-11-08|17712.0|0|17712.0|0|233.0|0|0.0|100
0|2021-11-09|17756.0|0|17756.0|0|233.0|0|0.0|100
0|2021-11-10|17756.0|0|17802.0|0|233.0|0|0.0|100
0|2021-11-11|17890.0|0|17890.0|0|234.0|0|0.0|100
0|2021-11-12|17950.0|0|17950.0|0|235.0|0|0.0|100
0|2021-11-13|18019.0|0|18019.0|0|235.0|0|0.0|100
0|2021-11-14|18101.0|0|18101.0|0|236.0|0|0.0|100
0|2021-11-15|18147.0|0|18147.0|0|236.0|0|0.0|100
0|2021-11-16|18207.0|0|18207.0|0|237.0|0|0.0|100
0|2021-11-17|18276.0|0|18276.0|0|237.0|0|0.0|100
0|2021-11-18|18395.0|0|18395.0|0|237.0|0|0.0|100
0|2021-11-19|18479.0|0|18479.0|0|237.0|0|0.0|100
0|2021-11-20|18599.0|0|18599.0|0|237.0|0|0.0|100
0|2021-11-21|18687.0|0|18687.0|0|237.0|0|0.0|100
0|2021-11-22|18769.0|0|18769.0|0|237.0|0|0.0|100
0|2021-11-23|18813.0|0|18813.0|0|239.0|0|0.0|100
0|2021-11-24|18922.0|0|18922.0|0|242.0|0|0.0|100
0|2021-11-25|19020.0|0|19020.0|0|243.0|0|0.0|100
0|2021-11-26|19131.0|0|19131.0|0|243.0|0|0.0|100
0|2021-11-27|19154.0|0|19154.0|0|244.0|0|0.0|100
0|2021-11-28|19229.0|0|19229.0|0|244.0|0|0.0|100
0|2021-11-29|19284.0|0|19284.0|0|244.0|0|0.0|100
0|2021-11-30|19328.0|0|19328.0|0|245.0|0|0.0|100
0|2021-12-01|19437.0|0|19437.0|0|245.0|0|0.0|100
0|2021-12-02|19569.0|0|19569.0|0|245.0|0|0.0|100
