|dates|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Gallatin_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Gallatin_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Gallatin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1207.0|0|1207.0|0|38.0|0|0.0|100
0|2021-10-18|1214.0|0|1214.0|0|39.0|0|0.0|100
0|2021-10-19|1219.0|0|1219.0|0|39.0|0|0.0|100
0|2021-10-20|1221.0|0|1221.0|0|39.0|0|0.0|100
0|2021-10-21|1225.0|0|1225.0|0|39.0|0|0.0|100
0|2021-10-22|1231.0|0|1231.0|0|39.0|0|0.0|100
0|2021-10-23|1231.0|0|1231.0|0|39.0|0|0.0|100
0|2021-10-24|1231.0|0|1231.0|0|39.0|0|0.0|100
0|2021-10-25|1234.0|0|1234.0|0|39.0|0|0.0|100
0|2021-10-26|1240.0|0|1240.0|0|39.0|0|0.0|100
0|2021-10-27|1246.0|0|1246.0|0|39.0|0|0.0|100
0|2021-10-28|1250.0|0|1250.0|0|40.0|0|0.0|100
0|2021-10-29|1257.0|0|1257.0|0|40.0|0|0.0|100
0|2021-10-30|1257.0|0|1257.0|0|40.0|0|0.0|100
0|2021-10-31|1257.0|0|1257.0|0|40.0|0|0.0|100
0|2021-11-01|1262.0|0|1262.0|0|40.0|0|0.0|100
0|2021-11-02|1262.0|0|1262.0|0|40.0|0|0.0|100
0|2021-11-03|1271.0|0|1271.0|0|40.0|0|0.0|100
0|2021-11-04|1278.0|0|1278.0|0|40.0|0|0.0|100
0|2021-11-05|1282.0|0|1282.0|0|41.0|0|0.0|100
0|2021-11-06|1282.0|0|1282.0|0|41.0|0|0.0|100
0|2021-11-07|1282.0|0|1282.0|0|41.0|0|0.0|100
0|2021-11-08|1287.0|0|1287.0|0|41.0|0|0.0|100
0|2021-11-09|1287.0|0|1287.0|0|41.0|0|0.0|100
0|2021-11-10|1289.0|0|1289.0|0|41.0|0|0.0|100
0|2021-11-11|1289.0|0|1289.0|0|41.0|0|0.0|100
