|dates|Trego_Kansas_UnitedStates.JHU_ConfirmedCases.data|Trego_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Trego_Kansas_UnitedStates.NYT_ConfirmedCases.data|Trego_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Trego_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Trego_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Trego_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Trego_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|478.0|0|478.0|0|8.0|0|0.0|100
0|2021-10-18|482.0|0|482.0|0|8.0|0|0.0|100
0|2021-10-19|482.0|0|482.0|0|8.0|0|0.0|100
0|2021-10-20|481.0|0|481.0|0|8.0|0|0.0|100
0|2021-10-21|481.0|0|481.0|0|8.0|0|0.0|100
0|2021-10-22|493.0|0|493.0|0|8.0|0|0.0|100
0|2021-10-23|493.0|0|493.0|0|8.0|0|0.0|100
0|2021-10-24|493.0|0|493.0|0|8.0|0|0.0|100
0|2021-10-25|494.0|0|494.0|0|8.0|0|0.0|100
0|2021-10-26|494.0|0|494.0|0|8.0|0|0.0|100
0|2021-10-27|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-10-28|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-10-29|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-10-30|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-10-31|496.0|0|496.0|0|8.0|0|0.0|100
0|2021-11-01|497.0|0|497.0|0|8.0|0|0.0|100
0|2021-11-02|497.0|0|497.0|0|8.0|0|0.0|100
0|2021-11-03|502.0|0|502.0|0|8.0|0|0.0|100
0|2021-11-04|502.0|0|502.0|0|8.0|0|0.0|100
0|2021-11-05|504.0|0|504.0|0|8.0|0|0.0|100
0|2021-11-06|504.0|0|504.0|0|8.0|0|0.0|100
0|2021-11-07|504.0|0|504.0|0|8.0|0|0.0|100
0|2021-11-08|506.0|0|506.0|0|8.0|0|0.0|100
0|2021-11-09|506.0|0|506.0|0|8.0|0|0.0|100
0|2021-11-10|506.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-11|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-12|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-13|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-14|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-15|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-16|507.0|0|507.0|0|8.0|0|0.0|100
0|2021-11-17|511.0|0|511.0|0|8.0|0|0.0|100
0|2021-11-18|511.0|0|511.0|0|8.0|0|0.0|100
0|2021-11-19|510.0|0|510.0|0|8.0|0|0.0|100
0|2021-11-20|510.0|0|510.0|0|8.0|0|0.0|100
0|2021-11-21|510.0|0|510.0|0|8.0|0|0.0|100
0|2021-11-22|512.0|0|512.0|0|8.0|0|0.0|100
0|2021-11-23|512.0|0|512.0|0|8.0|0|0.0|100
0|2021-11-24|512.0|0|517.0|0|8.0|0|0.0|100
0|2021-11-25|517.0|0|517.0|0|8.0|0|0.0|100
0|2021-11-26|517.0|0|517.0|0|8.0|0|0.0|100
0|2021-11-27|517.0|0|517.0|0|8.0|0|0.0|100
0|2021-11-28|517.0|0|517.0|0|8.0|0|0.0|100
0|2021-11-29|521.0|0|521.0|0|8.0|0|0.0|100
0|2021-11-30|521.0|0|521.0|0|8.0|0|0.0|100
0|2021-12-01|528.0|0|528.0|0|8.0|0|0.0|100
0|2021-12-02|528.0|0|528.0|0|8.0|0|0.0|100
0|2021-12-03|528.0|0|531.0|0|8.0|0|0.0|100
0|2021-12-04|531.0|0|531.0|0|8.0|0|0.0|100
0|2021-12-05|531.0|0|531.0|0|8.0|0|0.0|100
0|2021-12-06|533.0|0|533.0|0|8.0|0|0.0|100
0|2021-12-07|533.0|0|533.0|0|8.0|0|0.0|100
0|2021-12-08|537.0|0|537.0|0|8.0|0|0.0|100
0|2021-12-09|537.0|0|537.0|0|8.0|0|0.0|100
0|2021-12-10|542.0|0|542.0|0|8.0|0|0.0|100
0|2021-12-11|542.0|0|542.0|0|8.0|0|0.0|100
0|2021-12-12|542.0|0|542.0|0|8.0|0|0.0|100
0|2021-12-13|543.0|0|543.0|0|8.0|0|0.0|100
0|2021-12-14|543.0|0|543.0|0|8.0|0|0.0|100
0|2021-12-15|546.0|0|546.0|0|8.0|0|0.0|100
0|2021-12-16|546.0|0|546.0|0|8.0|0|0.0|100
0|2021-12-17|547.0|0|547.0|0|8.0|0|0.0|100
0|2021-12-18|547.0|0|547.0|0|8.0|0|0.0|100
0|2021-12-19|547.0|0|547.0|0|8.0|0|0.0|100
0|2021-12-20|548.0|0|548.0|0|8.0|0|0.0|100
0|2021-12-21|548.0|0|548.0|0|8.0|0|0.0|100
0|2021-12-22|550.0|0|550.0|0|8.0|0|0.0|100
0|2021-12-23|550.0|0|550.0|0|8.0|0|0.0|100
0|2021-12-24|550.0|0|550.0|0|8.0|0|0.0|100
