|dates|Grant_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Grant_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Grant_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Grant_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3794.0|0|3794.0|0|77.0|0|0.0|100
0|2021-10-18|3800.0|0|3800.0|0|77.0|0|0.0|100
0|2021-10-19|3804.0|0|3804.0|0|77.0|0|0.0|100
0|2021-10-20|3808.0|0|3808.0|0|77.0|0|0.0|100
0|2021-10-21|3810.0|0|3810.0|0|77.0|0|0.0|100
0|2021-10-22|3814.0|0|3814.0|0|77.0|0|0.0|100
0|2021-10-23|3814.0|0|3814.0|0|77.0|0|0.0|100
0|2021-10-24|3814.0|0|3814.0|0|77.0|0|0.0|100
0|2021-10-25|3815.0|0|3815.0|0|77.0|0|0.0|100
0|2021-10-26|3815.0|0|3815.0|0|77.0|0|0.0|100
0|2021-10-27|3819.0|0|3819.0|0|77.0|0|0.0|100
0|2021-10-28|3819.0|0|3819.0|0|77.0|0|0.0|100
0|2021-10-29|3821.0|0|3821.0|0|77.0|0|0.0|100
0|2021-10-30|3821.0|0|3821.0|0|77.0|0|0.0|100
0|2021-10-31|3821.0|0|3821.0|0|77.0|0|0.0|100
0|2021-11-01|3822.0|0|3822.0|0|77.0|0|0.0|100
0|2021-11-02|3824.0|0|3824.0|0|77.0|0|0.0|100
0|2021-11-03|3829.0|0|3829.0|0|77.0|0|0.0|100
0|2021-11-04|3835.0|0|3835.0|0|77.0|0|0.0|100
0|2021-11-05|3837.0|0|3837.0|0|78.0|0|0.0|100
0|2021-11-06|3837.0|0|3837.0|0|78.0|0|0.0|100
0|2021-11-07|3837.0|0|3837.0|0|78.0|0|0.0|100
0|2021-11-08|3838.0|0|3838.0|0|78.0|0|0.0|100
0|2021-11-09|3841.0|0|3841.0|0|78.0|0|0.0|100
0|2021-11-10|3841.0|0|3843.0|0|78.0|0|0.0|100
0|2021-11-11|3843.0|0|3843.0|0|78.0|0|0.0|100
0|2021-11-12|3845.0|0|3845.0|0|78.0|0|0.0|100
0|2021-11-13|3845.0|0|3845.0|0|78.0|0|0.0|100
0|2021-11-14|3845.0|0|3845.0|0|78.0|0|0.0|100
0|2021-11-15|3846.0|0|3846.0|0|78.0|0|0.0|100
0|2021-11-16|3849.0|0|3849.0|0|78.0|0|0.0|100
0|2021-11-17|3860.0|0|3860.0|0|78.0|0|0.0|100
0|2021-11-18|3868.0|0|3868.0|0|78.0|0|0.0|100
0|2021-11-19|3874.0|0|3874.0|0|78.0|0|0.0|100
0|2021-11-20|3874.0|0|3874.0|0|78.0|0|0.0|100
0|2021-11-21|3874.0|0|3874.0|0|78.0|0|0.0|100
0|2021-11-22|3886.0|0|3886.0|0|78.0|0|0.0|100
0|2021-11-23|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-24|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-25|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-26|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-27|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-28|3891.0|0|3891.0|0|78.0|0|0.0|100
0|2021-11-29|3897.0|0|3897.0|0|79.0|0|0.0|100
0|2021-11-30|3899.0|0|3899.0|0|79.0|0|0.0|100
0|2021-12-01|3903.0|0|3903.0|0|79.0|0|0.0|100
0|2021-12-02|3903.0|0|3906.0|0|79.0|0|0.0|100
0|2021-12-03|3910.0|0|3910.0|0|79.0|0|0.0|100
0|2021-12-04|3910.0|0|3910.0|0|79.0|0|0.0|100
0|2021-12-05|3910.0|0|3910.0|0|79.0|0|0.0|100
