|dates|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Manassas_Virginia_UnitedStates.NYT_ConfirmedCases.data|Manassas_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5018.0|0|5018.0|0|51.0|0|0.0|100
0|2021-10-18|5031.0|0|5031.0|0|51.0|0|0.0|100
0|2021-10-19|5034.0|0|5034.0|0|51.0|0|0.0|100
0|2021-10-20|5038.0|0|5038.0|0|51.0|0|0.0|100
0|2021-10-21|5044.0|0|5044.0|0|51.0|0|0.0|100
0|2021-10-22|5051.0|0|5051.0|0|52.0|0|0.0|100
0|2021-10-23|5051.0|0|5051.0|0|52.0|0|0.0|100
0|2021-10-24|5051.0|0|5051.0|0|52.0|0|0.0|100
0|2021-10-25|5059.0|0|5059.0|0|52.0|0|0.0|100
0|2021-10-26|5063.0|0|5063.0|0|52.0|0|0.0|100
0|2021-10-27|5064.0|0|5064.0|0|52.0|0|0.0|100
0|2021-10-28|5073.0|0|5073.0|0|52.0|0|0.0|100
0|2021-10-29|5078.0|0|5078.0|0|52.0|0|0.0|100
0|2021-10-30|5078.0|0|5078.0|0|52.0|0|0.0|100
0|2021-10-31|5078.0|0|5078.0|0|52.0|0|0.0|100
0|2021-11-01|5090.0|0|5090.0|0|53.0|0|0.0|100
0|2021-11-02|5099.0|0|5099.0|0|53.0|0|0.0|100
0|2021-11-03|5104.0|0|5104.0|0|53.0|0|0.0|100
0|2021-11-04|5112.0|0|5112.0|0|53.0|0|0.0|100
0|2021-11-05|5114.0|0|5114.0|0|53.0|0|0.0|100
0|2021-11-06|5114.0|0|5114.0|0|53.0|0|0.0|100
0|2021-11-07|5114.0|0|5114.0|0|53.0|0|0.0|100
0|2021-11-08|5125.0|0|5125.0|0|53.0|0|0.0|100
0|2021-11-09|5134.0|0|5134.0|0|53.0|0|0.0|100
0|2021-11-10|5134.0|0|5138.0|0|53.0|0|0.0|100
0|2021-11-11|5144.0|0|5144.0|0|53.0|0|0.0|100
0|2021-11-12|5153.0|0|5153.0|0|53.0|0|0.0|100
0|2021-11-13|5153.0|0|5153.0|0|53.0|0|0.0|100
0|2021-11-14|5153.0|0|5153.0|0|53.0|0|0.0|100
0|2021-11-15|5173.0|0|5173.0|0|53.0|0|0.0|100
0|2021-11-16|5177.0|0|5177.0|0|53.0|0|0.0|100
0|2021-11-17|5189.0|0|5189.0|0|53.0|0|0.0|100
0|2021-11-18|5200.0|0|5200.0|0|53.0|0|0.0|100
0|2021-11-19|5210.0|0|5210.0|0|53.0|0|0.0|100
0|2021-11-20|5210.0|0|5210.0|0|53.0|0|0.0|100
0|2021-11-21|5210.0|0|5210.0|0|53.0|0|0.0|100
0|2021-11-22|5248.0|0|5248.0|0|54.0|0|0.0|100
0|2021-11-23|5251.0|0|5251.0|0|54.0|0|0.0|100
0|2021-11-24|5255.0|0|5255.0|0|54.0|0|0.0|100
0|2021-11-25|5258.0|0|5258.0|0|54.0|0|0.0|100
0|2021-11-26|5261.0|0|5261.0|0|54.0|0|0.0|100
0|2021-11-27|5261.0|0|5261.0|0|54.0|0|0.0|100
0|2021-11-28|5261.0|0|5261.0|0|54.0|0|0.0|100
0|2021-11-29|5271.0|0|5271.0|0|54.0|0|0.0|100
0|2021-11-30|5279.0|0|5279.0|0|54.0|0|0.0|100
0|2021-12-01|5289.0|0|5289.0|0|54.0|0|0.0|100
0|2021-12-02|5300.0|0|5300.0|0|54.0|0|0.0|100
0|2021-12-03|5310.0|0|5310.0|0|54.0|0|0.0|100
