|dates|Colorado_Texas_UnitedStates.JHU_ConfirmedCases.data|Colorado_Texas_UnitedStates.JHU_ConfirmedCases.missing|Colorado_Texas_UnitedStates.NYT_ConfirmedCases.data|Colorado_Texas_UnitedStates.NYT_ConfirmedCases.missing|Colorado_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Colorado_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Colorado_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Colorado_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2526.0|0|2526.0|0|51.0|0|0.0|100
0|2021-10-18|2526.0|0|2526.0|0|51.0|0|0.0|100
0|2021-10-19|2526.0|0|2526.0|0|51.0|0|0.0|100
0|2021-10-20|2528.0|0|2528.0|0|51.0|0|0.0|100
0|2021-10-21|2527.0|0|2527.0|0|51.0|0|0.0|100
0|2021-10-22|2530.0|0|2530.0|0|51.0|0|0.0|100
0|2021-10-23|2535.0|0|2535.0|0|51.0|0|0.0|100
0|2021-10-24|2538.0|0|2538.0|0|51.0|0|0.0|100
0|2021-10-25|2538.0|0|2538.0|0|51.0|0|0.0|100
0|2021-10-26|2538.0|0|2538.0|0|51.0|0|0.0|100
0|2021-10-27|2544.0|0|2544.0|0|51.0|0|0.0|100
0|2021-10-28|2550.0|0|2550.0|0|51.0|0|0.0|100
0|2021-10-29|2549.0|0|2549.0|0|51.0|0|0.0|100
0|2021-10-30|2551.0|0|2551.0|0|51.0|0|0.0|100
0|2021-10-31|2555.0|0|2555.0|0|51.0|0|0.0|100
0|2021-11-01|2557.0|0|2557.0|0|51.0|0|0.0|100
0|2021-11-02|2559.0|0|2559.0|0|51.0|0|0.0|100
0|2021-11-03|2561.0|0|2561.0|0|51.0|0|0.0|100
0|2021-11-04|2562.0|0|2562.0|0|52.0|0|0.0|100
0|2021-11-05|2571.0|0|2571.0|0|52.0|0|0.0|100
0|2021-11-06|2577.0|0|2577.0|0|53.0|0|0.0|100
0|2021-11-07|2586.0|0|2586.0|0|53.0|0|0.0|100
0|2021-11-08|2586.0|0|2586.0|0|53.0|0|0.0|100
0|2021-11-09|2587.0|0|2587.0|0|53.0|0|0.0|100
0|2021-11-10|2587.0|0|2587.0|0|53.0|0|0.0|100
0|2021-11-11|2592.0|0|2592.0|0|53.0|0|0.0|100
0|2021-11-12|2596.0|0|2596.0|0|53.0|0|0.0|100
0|2021-11-13|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-11-14|2601.0|0|2601.0|0|53.0|0|0.0|100
0|2021-11-15|2601.0|0|2601.0|0|53.0|0|0.0|100
0|2021-11-16|2601.0|0|2601.0|0|53.0|0|0.0|100
0|2021-11-17|2601.0|0|2601.0|0|53.0|0|0.0|100
0|2021-11-18|2601.0|0|2601.0|0|54.0|0|0.0|100
0|2021-11-19|2603.0|0|2603.0|0|54.0|0|0.0|100
0|2021-11-20|2603.0|0|2603.0|0|54.0|0|0.0|100
0|2021-11-21|2604.0|0|2604.0|0|54.0|0|0.0|100
0|2021-11-22|2604.0|0|2604.0|0|54.0|0|0.0|100
0|2021-11-23|2604.0|0|2604.0|0|54.0|0|0.0|100
0|2021-11-24|2607.0|0|2607.0|0|54.0|0|0.0|100
0|2021-11-25|2607.0|0|2607.0|0|54.0|0|0.0|100
0|2021-11-26|2607.0|0|2607.0|0|54.0|0|0.0|100
0|2021-11-27|2607.0|0|2607.0|0|54.0|0|0.0|100
0|2021-11-28|2607.0|0|2607.0|0|54.0|0|0.0|100
0|2021-11-29|2610.0|0|2610.0|0|55.0|0|0.0|100
0|2021-11-30|2615.0|0|2615.0|0|55.0|0|0.0|100
0|2021-12-01|2616.0|0|2616.0|0|55.0|0|0.0|100
0|2021-12-02|2617.0|0|2617.0|0|55.0|0|0.0|100
0|2021-12-03|2617.0|0|2617.0|0|55.0|0|0.0|100
0|2021-12-04|2618.0|0|2618.0|0|55.0|0|0.0|100
0|2021-12-05|2618.0|0|2618.0|0|55.0|0|0.0|100
0|2021-12-06|2621.0|0|2621.0|0|55.0|0|0.0|100
0|2021-12-07|2625.0|0|2625.0|0|55.0|0|0.0|100
0|2021-12-08|2627.0|0|2627.0|0|55.0|0|0.0|100
