|dates|Navajo_Arizona_UnitedStates.JHU_ConfirmedCases.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Navajo_Arizona_UnitedStates.NYT_ConfirmedCases.data|Navajo_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Navajo_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Navajo_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|20520.0|0|20520.0|0|609.0|0|0.0|100
0|2021-10-18|20520.0|0|20520.0|0|609.0|0|0.0|100
0|2021-10-19|20696.0|0|20696.0|0|612.0|0|0.0|100
0|2021-10-20|20743.0|0|20743.0|0|612.0|0|0.0|100
0|2021-10-21|20827.0|0|20827.0|0|614.0|0|0.0|100
0|2021-10-22|20925.0|0|20925.0|0|617.0|0|0.0|100
0|2021-10-23|21026.0|0|21026.0|0|618.0|0|0.0|100
0|2021-10-24|21150.0|0|21150.0|0|618.0|0|0.0|100
0|2021-10-25|21173.0|0|21173.0|0|618.0|0|0.0|100
0|2021-10-26|21146.0|0|21146.0|0|625.0|0|0.0|100
0|2021-10-27|21284.0|0|21284.0|0|626.0|0|0.0|100
0|2021-10-28|21394.0|0|21394.0|0|626.0|0|0.0|100
0|2021-10-29|21477.0|0|21477.0|0|627.0|0|0.0|100
0|2021-10-30|21556.0|0|21556.0|0|629.0|0|0.0|100
0|2021-10-31|21607.0|0|21607.0|0|629.0|0|0.0|100
0|2021-11-01|21682.0|0|21682.0|0|629.0|0|0.0|100
0|2021-11-02|21745.0|0|21745.0|0|629.0|0|0.0|100
0|2021-11-03|21826.0|0|21826.0|0|632.0|0|0.0|100
0|2021-11-04|21974.0|0|21974.0|0|632.0|0|0.0|100
0|2021-11-05|22071.0|0|22071.0|0|633.0|0|0.0|100
0|2021-11-06|22159.0|0|22159.0|0|636.0|0|0.0|100
0|2021-11-07|22254.0|0|22254.0|0|636.0|0|0.0|100
0|2021-11-08|22346.0|0|22346.0|0|636.0|0|0.0|100
0|2021-11-09|22446.0|0|22446.0|0|644.0|0|0.0|100
0|2021-11-10|22446.0|0|22529.0|0|644.0|0|0.0|100
0|2021-11-11|22749.0|0|22749.0|0|643.0|0|0.0|100
0|2021-11-12|22859.0|0|22859.0|0|647.0|0|0.0|100
0|2021-11-13|22974.0|0|22974.0|0|648.0|0|0.0|100
0|2021-11-14|23043.0|0|23043.0|0|648.0|0|0.0|100
0|2021-11-15|23170.0|0|23170.0|0|648.0|0|0.0|100
0|2021-11-16|23247.0|0|23247.0|0|653.0|0|0.0|100
0|2021-11-17|23372.0|0|23372.0|0|653.0|0|0.0|100
0|2021-11-18|23499.0|0|23499.0|0|656.0|0|0.0|100
0|2021-11-19|23653.0|0|23653.0|0|660.0|0|0.0|100
0|2021-11-20|23770.0|0|23770.0|0|663.0|0|0.0|100
0|2021-11-21|23865.0|0|23865.0|0|663.0|0|0.0|100
0|2021-11-22|23939.0|0|23939.0|0|663.0|0|0.0|100
0|2021-11-23|24022.0|0|24022.0|0|668.0|0|0.0|100
0|2021-11-24|24082.0|0|24082.0|0|672.0|0|0.0|100
0|2021-11-25|24189.0|0|24189.0|0|674.0|0|0.0|100
0|2021-11-26|24233.0|0|24233.0|0|674.0|0|0.0|100
0|2021-11-27|24330.0|0|24330.0|0|675.0|0|0.0|100
0|2021-11-28|24371.0|0|24371.0|0|675.0|0|0.0|100
0|2021-11-29|24449.0|0|24449.0|0|675.0|0|0.0|100
0|2021-11-30|24449.0|0|24534.0|0|675.0|0|0.0|100
0|2021-12-01|24597.0|0|24597.0|0|678.0|0|0.0|100
0|2021-12-02|24732.0|0|24732.0|0|679.0|0|0.0|100
0|2021-12-03|24890.0|0|24890.0|0|680.0|0|0.0|100
0|2021-12-04|24999.0|0|24999.0|0|686.0|0|0.0|100
0|2021-12-05|25051.0|0|25051.0|0|687.0|0|0.0|100
0|2021-12-06|25131.0|0|25131.0|0|687.0|0|0.0|100
0|2021-12-07|25200.0|0|25200.0|0|694.0|0|0.0|100
0|2021-12-08|25277.0|0|25277.0|0|694.0|0|0.0|100
0|2021-12-09|25404.0|0|25404.0|0|697.0|0|0.0|100
0|2021-12-10|25526.0|0|25526.0|0|701.0|0|0.0|100
0|2021-12-11|25629.0|0|25629.0|0|704.0|0|0.0|100
0|2021-12-12|25697.0|0|25697.0|0|704.0|0|0.0|100
0|2021-12-13|25697.0|0|25768.0|0|704.0|0|0.0|100
0|2021-12-14|25697.0|0|25831.0|0|704.0|0|0.0|100
0|2021-12-15|25897.0|0|25897.0|0|713.0|0|0.0|100
0|2021-12-16|26036.0|0|26036.0|0|719.0|0|0.0|100
0|2021-12-17|26073.0|0|26073.0|0|725.0|0|0.0|100
0|2021-12-18|26073.0|0|26159.0|0|725.0|0|0.0|100
0|2021-12-19|26198.0|0|26198.0|0|725.0|0|0.0|100
0|2021-12-20|26248.0|0|26248.0|0|725.0|0|0.0|100
0|2021-12-21|26309.0|0|26309.0|0|733.0|0|0.0|100
0|2021-12-22|26354.0|0|26354.0|0|735.0|0|0.0|100
0|2021-12-23|26430.0|0|26430.0|0|735.0|0|0.0|100
0|2021-12-24|26499.0|0|26499.0|0|736.0|0|0.0|100
0|2021-12-25|26499.0|0|26532.0|0|736.0|0|0.0|100
0|2021-12-26|26532.0|0|26532.0|0|737.0|0|0.0|100
0|2021-12-27|26655.0|0|26655.0|0|737.0|0|0.0|100
0|2021-12-28|26655.0|0|26690.0|0|737.0|0|0.0|100
0|2021-12-29|26690.0|0|26761.0|0|743.0|0|0.0|100
0|2021-12-30|26761.0|0|26905.0|0|744.0|0|0.0|100
0|2021-12-31|26994.0|0|26994.0|0|746.0|0|0.0|100
0|2022-01-01|27125.0|0|27125.0|0|750.0|0|0.0|100
0|2022-01-02|27125.0|0|27125.0|0|750.0|0|0.0|100
0|2022-01-03|27355.0|0|27355.0|0|750.0|0|0.0|100
0|2022-01-04|27448.0|0|27448.0|0|755.0|0|0.0|100
0|2022-01-05|27555.0|0|27555.0|0|759.0|0|0.0|100
0|2022-01-06|27817.0|0|27817.0|0|760.0|0|0.0|100
0|2022-01-07|28101.0|0|28101.0|0|761.0|0|0.0|100
0|2022-01-08|28348.0|0|28348.0|0|760.0|0|0.0|100
0|2022-01-09|28348.0|0|28557.0|0|760.0|0|0.0|100
0|2022-01-10|28843.0|0|28843.0|0|765.0|0|0.0|100
0|2022-01-11|29054.0|0|29054.0|0|770.0|0|0.0|100
0|2022-01-12|29283.0|0|29283.0|0|770.0|0|0.0|100
0|2022-01-13|29283.0|0|29629.0|0|770.0|0|0.0|100
0|2022-01-14|30211.0|0|30211.0|0|774.0|0|0.0|100
0|2022-01-15|30211.0|0|30598.0|0|774.0|0|0.0|100
0|2022-01-16|30267.0|0|30834.0|0|775.0|0|0.0|100
0|2022-01-17|31098.0|0|0.0|100|776.0|0|0.0|100
