|dates|Wichita_Kansas_UnitedStates.JHU_ConfirmedCases.data|Wichita_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Wichita_Kansas_UnitedStates.NYT_ConfirmedCases.data|Wichita_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Wichita_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Wichita_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Wichita_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Wichita_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|270.0|0|270.0|0|6.0|0|0.0|100
0|2021-10-18|272.0|0|272.0|0|6.0|0|0.0|100
0|2021-10-19|272.0|0|272.0|0|6.0|0|0.0|100
0|2021-10-20|279.0|0|279.0|0|6.0|0|0.0|100
0|2021-10-21|279.0|0|279.0|0|6.0|0|0.0|100
0|2021-10-22|281.0|0|281.0|0|6.0|0|0.0|100
0|2021-10-23|281.0|0|281.0|0|6.0|0|0.0|100
0|2021-10-24|281.0|0|281.0|0|6.0|0|0.0|100
0|2021-10-25|282.0|0|282.0|0|6.0|0|0.0|100
0|2021-10-26|282.0|0|282.0|0|6.0|0|0.0|100
0|2021-10-27|293.0|0|293.0|0|6.0|0|0.0|100
0|2021-10-28|293.0|0|293.0|0|6.0|0|0.0|100
0|2021-10-29|296.0|0|296.0|0|6.0|0|0.0|100
0|2021-10-30|296.0|0|296.0|0|6.0|0|0.0|100
0|2021-10-31|296.0|0|296.0|0|6.0|0|0.0|100
0|2021-11-01|298.0|0|298.0|0|6.0|0|0.0|100
0|2021-11-02|298.0|0|298.0|0|6.0|0|0.0|100
0|2021-11-03|301.0|0|301.0|0|6.0|0|0.0|100
0|2021-11-04|301.0|0|301.0|0|6.0|0|0.0|100
0|2021-11-05|301.0|0|301.0|0|6.0|0|0.0|100
0|2021-11-06|301.0|0|301.0|0|6.0|0|0.0|100
0|2021-11-07|301.0|0|301.0|0|6.0|0|0.0|100
0|2021-11-08|303.0|0|303.0|0|6.0|0|0.0|100
0|2021-11-09|303.0|0|303.0|0|6.0|0|0.0|100
0|2021-11-10|303.0|0|307.0|0|6.0|0|0.0|100
0|2021-11-11|307.0|0|307.0|0|6.0|0|0.0|100
0|2021-11-12|308.0|0|308.0|0|6.0|0|0.0|100
0|2021-11-13|308.0|0|308.0|0|6.0|0|0.0|100
0|2021-11-14|308.0|0|308.0|0|6.0|0|0.0|100
0|2021-11-15|309.0|0|309.0|0|7.0|0|0.0|100
0|2021-11-16|309.0|0|309.0|0|7.0|0|0.0|100
0|2021-11-17|310.0|0|310.0|0|7.0|0|0.0|100
0|2021-11-18|310.0|0|310.0|0|7.0|0|0.0|100
0|2021-11-19|312.0|0|312.0|0|8.0|0|0.0|100
