|dates|Ashland_Ohio_UnitedStates.JHU_ConfirmedCases.data|Ashland_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Ashland_Ohio_UnitedStates.NYT_ConfirmedCases.data|Ashland_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Ashland_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Ashland_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Ashland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Ashland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6790.0|0|6790.0|0|136.0|0|0.0|100
0|2021-10-18|6817.0|0|6817.0|0|136.0|0|0.0|100
0|2021-10-19|6857.0|0|6857.0|0|139.0|0|0.0|100
0|2021-10-20|6874.0|0|6874.0|0|142.0|0|0.0|100
0|2021-10-21|6917.0|0|6917.0|0|142.0|0|0.0|100
0|2021-10-22|6945.0|0|6945.0|0|142.0|0|0.0|100
0|2021-10-23|6967.0|0|6967.0|0|142.0|0|0.0|100
0|2021-10-24|6977.0|0|6977.0|0|142.0|0|0.0|100
0|2021-10-25|6993.0|0|6993.0|0|142.0|0|0.0|100
0|2021-10-26|7011.0|0|7011.0|0|142.0|0|0.0|100
0|2021-10-27|7041.0|0|7041.0|0|143.0|0|0.0|100
0|2021-10-28|7065.0|0|7065.0|0|143.0|0|0.0|100
0|2021-10-29|7079.0|0|7079.0|0|143.0|0|0.0|100
0|2021-10-30|7103.0|0|7103.0|0|143.0|0|0.0|100
0|2021-10-31|7122.0|0|7122.0|0|143.0|0|0.0|100
0|2021-11-01|7136.0|0|7136.0|0|143.0|0|0.0|100
0|2021-11-02|7151.0|0|7151.0|0|143.0|0|0.0|100
0|2021-11-03|7171.0|0|7171.0|0|143.0|0|0.0|100
0|2021-11-04|7193.0|0|7193.0|0|143.0|0|0.0|100
0|2021-11-05|7229.0|0|7229.0|0|143.0|0|0.0|100
0|2021-11-06|7241.0|0|7241.0|0|143.0|0|0.0|100
0|2021-11-07|7259.0|0|7259.0|0|143.0|0|0.0|100
0|2021-11-08|7281.0|0|7281.0|0|143.0|0|0.0|100
0|2021-11-09|7296.0|0|7296.0|0|143.0|0|0.0|100
0|2021-11-10|7323.0|0|7323.0|0|143.0|0|0.0|100
0|2021-11-11|7340.0|0|7340.0|0|143.0|0|0.0|100
0|2021-11-12|7361.0|0|7361.0|0|146.0|0|0.0|100
0|2021-11-13|7377.0|0|7377.0|0|146.0|0|0.0|100
0|2021-11-14|7393.0|0|7393.0|0|146.0|0|0.0|100
0|2021-11-15|7413.0|0|7413.0|0|146.0|0|0.0|100
0|2021-11-16|7438.0|0|7438.0|0|146.0|0|0.0|100
0|2021-11-17|7472.0|0|7472.0|0|146.0|0|0.0|100
0|2021-11-18|7526.0|0|7526.0|0|146.0|0|0.0|100
0|2021-11-19|7561.0|0|7561.0|0|146.0|0|0.0|100
0|2021-11-20|7595.0|0|7595.0|0|146.0|0|0.0|100
0|2021-11-21|7607.0|0|7607.0|0|146.0|0|0.0|100
0|2021-11-22|7632.0|0|7632.0|0|146.0|0|0.0|100
0|2021-11-23|7677.0|0|7677.0|0|146.0|0|0.0|100
0|2021-11-24|7710.0|0|7710.0|0|146.0|0|0.0|100
0|2021-11-25|7710.0|0|7710.0|0|146.0|0|0.0|100
0|2021-11-26|7752.0|0|7752.0|0|147.0|0|0.0|100
0|2021-11-27|7777.0|0|7777.0|0|147.0|0|0.0|100
0|2021-11-28|7801.0|0|7801.0|0|147.0|0|0.0|100
0|2021-11-29|7840.0|0|7840.0|0|147.0|0|0.0|100
0|2021-11-30|7873.0|0|7873.0|0|149.0|0|0.0|100
0|2021-12-01|7917.0|0|7917.0|0|149.0|0|0.0|100
0|2021-12-02|7956.0|0|7956.0|0|149.0|0|0.0|100
0|2021-12-03|8029.0|0|8029.0|0|152.0|0|0.0|100
0|2021-12-04|8068.0|0|8068.0|0|152.0|0|0.0|100
0|2021-12-05|8102.0|0|8102.0|0|152.0|0|0.0|100
0|2021-12-06|8130.0|0|8130.0|0|152.0|0|0.0|100
0|2021-12-07|8166.0|0|8166.0|0|152.0|0|0.0|100
0|2021-12-08|8218.0|0|8218.0|0|152.0|0|0.0|100
0|2021-12-09|8242.0|0|8242.0|0|152.0|0|0.0|100
0|2021-12-10|8276.0|0|8276.0|0|157.0|0|0.0|100
0|2021-12-11|8314.0|0|8314.0|0|157.0|0|0.0|100
