|dates|Greeley_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greeley_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greeley_Nebraska_UnitedStates.Male_Total_Population.data|Greeley_Nebraska_UnitedStates.Male_Total_Population.missing|Greeley_Nebraska_UnitedStates.Female_Total_Population.data|Greeley_Nebraska_UnitedStates.Female_Total_Population.missing|Greeley_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Greeley_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-18|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-19|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-20|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-21|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-22|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-23|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-24|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-25|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-26|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-27|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-28|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-29|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-30|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-10-31|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-01|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-02|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-03|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-04|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-05|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-06|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-07|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-08|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-09|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-10|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-11|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-12|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-13|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-14|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-15|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-16|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-17|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-18|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-19|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-20|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-21|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-22|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-23|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-24|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-25|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-26|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-27|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-28|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-29|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-11-30|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-01|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-02|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-03|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-04|604.0|0|1160.0|0|1196.0|0|536.0|0
