|dates|Henry_Illinois_UnitedStates.JHU_ConfirmedCases.data|Henry_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Henry_Illinois_UnitedStates.NYT_ConfirmedCases.data|Henry_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Henry_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6598.0|0|6598.0|0|76.0|0|0.0|100
0|2021-10-18|6616.0|0|6616.0|0|77.0|0|0.0|100
0|2021-10-19|6626.0|0|6626.0|0|77.0|0|0.0|100
0|2021-10-20|6637.0|0|6637.0|0|77.0|0|0.0|100
0|2021-10-21|6642.0|0|6642.0|0|77.0|0|0.0|100
0|2021-10-22|6661.0|0|6661.0|0|77.0|0|0.0|100
0|2021-10-23|6661.0|0|6661.0|0|77.0|0|0.0|100
0|2021-10-24|6661.0|0|6661.0|0|77.0|0|0.0|100
0|2021-10-25|6665.0|0|6665.0|0|77.0|0|0.0|100
0|2021-10-26|6680.0|0|6680.0|0|77.0|0|0.0|100
0|2021-10-27|6686.0|0|6686.0|0|77.0|0|0.0|100
0|2021-10-28|6694.0|0|6694.0|0|77.0|0|0.0|100
0|2021-10-29|6702.0|0|6702.0|0|77.0|0|0.0|100
0|2021-10-30|6702.0|0|6702.0|0|77.0|0|0.0|100
0|2021-10-31|6702.0|0|6702.0|0|77.0|0|0.0|100
0|2021-11-01|6727.0|0|6727.0|0|77.0|0|0.0|100
0|2021-11-02|6738.0|0|6738.0|0|77.0|0|0.0|100
0|2021-11-03|6755.0|0|6755.0|0|77.0|0|0.0|100
0|2021-11-04|6791.0|0|6791.0|0|77.0|0|0.0|100
0|2021-11-05|6794.0|0|6794.0|0|77.0|0|0.0|100
0|2021-11-06|6794.0|0|6794.0|0|77.0|0|0.0|100
0|2021-11-07|6794.0|0|6794.0|0|77.0|0|0.0|100
0|2021-11-08|6825.0|0|6825.0|0|78.0|0|0.0|100
0|2021-11-09|6843.0|0|6843.0|0|78.0|0|0.0|100
0|2021-11-10|6843.0|0|6864.0|0|78.0|0|0.0|100
0|2021-11-11|6864.0|0|6864.0|0|79.0|0|0.0|100
0|2021-11-12|6898.0|0|6898.0|0|81.0|0|0.0|100
0|2021-11-13|6898.0|0|6898.0|0|81.0|0|0.0|100
0|2021-11-14|6898.0|0|6898.0|0|81.0|0|0.0|100
0|2021-11-15|6942.0|0|6942.0|0|81.0|0|0.0|100
0|2021-11-16|6971.0|0|6971.0|0|81.0|0|0.0|100
