|dates|Southampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Southampton_Virginia_UnitedStates.NYT_ConfirmedCases.data|Southampton_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Southampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Southampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2360.0|0|2360.0|0|63.0|0|0.0|100
0|2021-10-18|2363.0|0|2363.0|0|63.0|0|0.0|100
0|2021-10-19|2369.0|0|2369.0|0|63.0|0|0.0|100
0|2021-10-20|2377.0|0|2377.0|0|63.0|0|0.0|100
0|2021-10-21|2380.0|0|2380.0|0|63.0|0|0.0|100
0|2021-10-22|2382.0|0|2382.0|0|63.0|0|0.0|100
0|2021-10-23|2382.0|0|2382.0|0|63.0|0|0.0|100
0|2021-10-24|2382.0|0|2382.0|0|63.0|0|0.0|100
0|2021-10-25|2388.0|0|2388.0|0|65.0|0|0.0|100
0|2021-10-26|2390.0|0|2390.0|0|65.0|0|0.0|100
0|2021-10-27|2394.0|0|2394.0|0|65.0|0|0.0|100
0|2021-10-28|2397.0|0|2397.0|0|65.0|0|0.0|100
0|2021-10-29|2397.0|0|2397.0|0|65.0|0|0.0|100
0|2021-10-30|2397.0|0|2397.0|0|65.0|0|0.0|100
0|2021-10-31|2397.0|0|2397.0|0|65.0|0|0.0|100
0|2021-11-01|2398.0|0|2398.0|0|67.0|0|0.0|100
0|2021-11-02|2397.0|0|2397.0|0|67.0|0|0.0|100
0|2021-11-03|2398.0|0|2398.0|0|67.0|0|0.0|100
0|2021-11-04|2401.0|0|2401.0|0|67.0|0|0.0|100
0|2021-11-05|2404.0|0|2404.0|0|67.0|0|0.0|100
0|2021-11-06|2404.0|0|2404.0|0|67.0|0|0.0|100
0|2021-11-07|2404.0|0|2404.0|0|67.0|0|0.0|100
0|2021-11-08|2404.0|0|2404.0|0|67.0|0|0.0|100
0|2021-11-09|2404.0|0|2404.0|0|67.0|0|0.0|100
