|dates|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Indiana_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Indiana_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Indiana_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8588.0|0|8588.0|0|215.0|0|0.0|100
0|2021-10-18|8603.0|0|8603.0|0|218.0|0|0.0|100
0|2021-10-19|8634.0|0|8634.0|0|218.0|0|0.0|100
0|2021-10-20|8663.0|0|8663.0|0|220.0|0|0.0|100
0|2021-10-21|8706.0|0|8706.0|0|220.0|0|0.0|100
0|2021-10-22|8757.0|0|8757.0|0|222.0|0|0.0|100
0|2021-10-23|8808.0|0|8808.0|0|223.0|0|0.0|100
0|2021-10-24|8838.0|0|8838.0|0|223.0|0|0.0|100
0|2021-10-25|8864.0|0|8864.0|0|223.0|0|0.0|100
0|2021-10-26|8916.0|0|8916.0|0|224.0|0|0.0|100
0|2021-10-27|8973.0|0|8973.0|0|224.0|0|0.0|100
0|2021-10-28|9024.0|0|9024.0|0|224.0|0|0.0|100
0|2021-10-29|9053.0|0|9053.0|0|226.0|0|0.0|100
0|2021-10-30|9104.0|0|9104.0|0|228.0|0|0.0|100
0|2021-10-31|9135.0|0|9135.0|0|228.0|0|0.0|100
0|2021-11-01|9135.0|0|9135.0|0|228.0|0|0.0|100
0|2021-11-02|9183.0|0|9183.0|0|231.0|0|0.0|100
0|2021-11-03|9222.0|0|9222.0|0|234.0|0|0.0|100
0|2021-11-04|9281.0|0|9281.0|0|234.0|0|0.0|100
0|2021-11-05|9316.0|0|9316.0|0|236.0|0|0.0|100
0|2021-11-06|9357.0|0|9357.0|0|238.0|0|0.0|100
0|2021-11-07|9401.0|0|9401.0|0|238.0|0|0.0|100
0|2021-11-08|9439.0|0|9439.0|0|238.0|0|0.0|100
0|2021-11-09|9467.0|0|9467.0|0|240.0|0|0.0|100
0|2021-11-10|9467.0|0|9517.0|0|240.0|0|0.0|100
0|2021-11-11|9569.0|0|9569.0|0|243.0|0|0.0|100
0|2021-11-12|9600.0|0|9600.0|0|243.0|0|0.0|100
0|2021-11-13|9815.0|0|9815.0|0|246.0|0|0.0|100
0|2021-11-14|9883.0|0|9883.0|0|248.0|0|0.0|100
0|2021-11-15|9914.0|0|9914.0|0|248.0|0|0.0|100
0|2021-11-16|9984.0|0|9984.0|0|250.0|0|0.0|100
0|2021-11-17|10048.0|0|10048.0|0|251.0|0|0.0|100
