|dates|Butler_Kansas_UnitedStates.AveragePrecipitationTotal.data|Butler_Kansas_UnitedStates.AveragePrecipitationTotal.missing|Butler_Kansas_UnitedStates.AveragePrecipitation.data|Butler_Kansas_UnitedStates.AveragePrecipitation.missing|Butler_Kansas_UnitedStates.AverageWindDirection.data|Butler_Kansas_UnitedStates.AverageWindDirection.missing|Butler_Kansas_UnitedStates.AverageWindSpeed.data|Butler_Kansas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|165.10416666666666|0|6.375|0
0|2021-10-18|0.0|0|0.0|0|177.44791666666666|0|12.833333333333334|0
0|2021-10-19|0.0|0|0.0|0|173.98958333333334|0|17.40625|0
0|2021-10-20|0.0|0|0.0|0|261.3958333333333|0|11.375|0
0|2021-10-21|0.0|0|0.0|0|251.04166666666666|0|6.34375|0
0|2021-10-22|0.0|0|0.0|0|164.04166666666666|0|8.416666666666666|0
0|2021-10-23|0.0|0|0.0|0|141.10416666666666|0|11.640625|0
0|2021-10-24|0.0|0|0.0|0|232.70833333333334|0|13.854166666666666|0
0|2021-10-25|0.0|0|0.0|0|101.45833333333333|0|8.59375|0
0|2021-10-26|0.0|0|0.0|0|143.54166666666666|0|16.973958333333332|0
0|2021-10-27|0.0|0|0.0|0|213.95833333333334|0|15.770833333333334|0
0|2021-10-28|0.0|0|0.0|0|342.5|0|26.552083333333332|0
0|2021-10-29|0.0|0|0.0|0|343.4375|0|17.28125|0
0|2021-10-30|0.0|0|0.0|0|145.3125|0|4.041666666666667|0
0|2021-10-31|0.0|0|0.0|0|114.79166666666667|0|13.760416666666666|0
0|2021-11-01|0.0|0|0.0|0|61.5625|0|10.947916666666666|0
0|2021-11-02|0.0|0|0.0|0|56.458333333333336|0|4.489583333333333|0
0|2021-11-03|0.0|0|0.0|0|50.260416666666664|0|1.7864583333333333|0
0|2021-11-04|0.0|0|0.0|0|182.08333333333334|0|7.28125|0
0|2021-11-05|0.0|0|0.0|0|189.6875|0|10.260416666666666|0
0|2021-11-06|0.0|0|0.0|0|192.70833333333334|0|10.1875|0
0|2021-11-07|0.0|0|0.0|0|193.17708333333334|0|16.197916666666668|0
0|2021-11-08|0.0|0|0.0|0|160.9375|0|11.973958333333334|0
0|2021-11-09|0.0|0|0.0|0|88.69791666666667|0|5.817708333333333|0
0|2021-11-10|0.0|0|0.0|0|215.57291666666666|0|13.083333333333334|0
0|2021-11-11|0.0|0|0.0|0|296.7708333333333|0|12.90625|0
0|2021-11-12|0.0|0|0.0|0|315.2083333333333|0|13.572916666666666|0
0|2021-11-13|0.0|0|0.0|0|174.375|0|6.916666666666667|0
0|2021-11-14|0.0|0|0.0|0|233.90625|0|7.875|0
0|2021-11-15|0.0|0|0.0|0|207.60416666666666|0|10.895833333333334|0
0|2021-11-16|0.0|0|0.0|0|178.54166666666666|0|12.65625|0
0|2021-11-17|0.0|0|0.0|0|169.32291666666666|0|15.625|0
0|2021-11-18|0.0|0|0.0|0|185.625|0|4.864583333333333|0
0|2021-11-19|0.0|0|0.0|0|178.02083333333334|0|15.489583333333334|0
0|2021-11-20|0.0|0|0.0|0|155.0|0|7.65625|0
0|2021-11-21|0.0|0|0.0|0|191.45833333333334|0|10.760416666666666|0
0|2021-11-22|0.0|0|0.0|0|158.02083333333334|0|6.3125|0
0|2021-11-23|0.0|0|0.0|0|173.95833333333334|0|14.645833333333334|0
0|2021-11-24|0.0|0|0.0|0|246.04166666666666|0|19.635416666666668|0
0|2021-11-25|0.0|0|0.0|0|284.5833333333333|0|11.875|0
0|2021-11-26|0.0|0|0.0|0|201.45833333333334|0|11.0|0
0|2021-11-27|0.0|0|0.0|0|212.29166666666666|0|9.114583333333334|0
0|2021-11-28|0.0|0|0.0|0|186.82291666666666|0|5.859375|0
0|2021-11-29|0.0|0|0.0|0|205.52083333333334|0|7.0625|0
0|2021-11-30|0.0|0|0.0|0|74.79166666666667|0|8.0|0
0|2021-12-01|0.0|0|0.0|0|167.29166666666666|0|3.9583333333333335|0
0|2021-12-02|0.0|0|0.0|0|205.15625|0|7.223958333333333|0
0|2021-12-03|0.0|0|0.0|0|122.5|0|7.760416666666667|0
0|2021-12-04|0.0|0|0.0|0|76.77083333333333|0|9.739583333333334|0
0|2021-12-05|0.0|0|0.0|0|233.22916666666666|0|13.890625|0
0|2021-12-06|0.0|0|0.0|0|198.22916666666666|0|13.791666666666666|0
0|2021-12-07|0.0|0|0.0|0|149.0625|0|8.40625|0
0|2021-12-08|0.0|0|0.0|0|180.83333333333334|0|9.5|0
0|2021-12-09|0.0|0|0.0|0|243.54166666666666|0|9.270833333333334|0
0|2021-12-10|0.0|0|0.0|0|212.1875|0|16.291666666666668|0
0|2021-12-11|0.0|0|0.0|0|262.1875|0|10.302083333333334|0
0|2021-12-12|0.0|0|0.0|0|185.36458333333334|0|15.739583333333334|0
0|2021-12-13|0.0|0|0.0|0|175.72916666666666|0|11.177083333333334|0
0|2021-12-14|0.0|0|0.0|0|180.72916666666666|0|14.916666666666666|0
0|2021-12-15|0.0|0|0.0|0|223.75|0|23.385416666666668|0
0|2021-12-16|0.0|0|0.0|0|200.83333333333334|0|6.041666666666667|0
0|2021-12-17|0.0|0|0.0|0|171.5625|0|7.010416666666667|0
0|2021-12-18|0.0|0|0.0|0|297.1875|0|12.229166666666666|0
0|2021-12-19|0.0|0|0.0|0|138.22916666666666|0|7.78125|0
0|2021-12-20|0.0|0|0.0|0|166.82291666666666|0|8.703125|0
0|2021-12-21|0.0|0|0.0|0|104.0625|0|4.979166666666667|0
0|2021-12-22|0.0|0|0.0|0|166.45833333333334|0|10.697916666666666|0
0|2021-12-23|0.0|0|0.0|0|178.64583333333334|0|8.708333333333334|0
0|2021-12-24|0.0|0|0.0|0|208.78125|0|15.03125|0
0|2021-12-25|0.0|0|0.0|0|133.85416666666666|0|4.479166666666667|0
0|2021-12-26|0.0|0|0.0|0|159.16666666666666|0|11.84375|0
0|2021-12-27|0.0|0|0.0|0|190.36458333333334|0|9.161458333333334|0
0|2021-12-28|0.0|0|0.0|0|217.39583333333334|0|13.208333333333334|0
0|2021-12-29|0.0|0|0.0|0|58.75|0|6.791666666666667|0
0|2021-12-30|0.0|0|0.0|0|144.16666666666666|0|5.364583333333333|0
0|2021-12-31|0.0|0|0.0|0|189.53125|0|13.208333333333334|0
0|2022-01-01|0.0|0|0.0|0|232.08333333333334|0|16.895833333333332|0
0|2022-01-02|0.0|0|0.0|0|285.625|0|9.020833333333334|0
0|2022-01-03|0.0|0|0.0|0|174.16666666666666|0|7.875|0
0|2022-01-04|0.0|0|0.0|0|219.6875|0|16.770833333333332|0
0|2022-01-05|0.0|0|0.0|0|189.58333333333334|0|12.364583333333334|0
0|2022-01-06|0.0|0|0.0|0|245.15625|0|12.234375|0
0|2022-01-07|0.0|0|0.0|0|118.125|0|8.15625|0
0|2022-01-08|0.0|0|0.0|0|166.66666666666666|0|15.864583333333334|0
0|2022-01-09|0.0|0|0.0|0|88.75|0|13.197916666666666|0
0|2022-01-10|0.0|0|0.0|0|196.19791666666666|0|4.96875|0
0|2022-01-11|0.0|0|0.0|0|202.8125|0|11.572916666666666|0
0|2022-01-12|0.0|0|0.0|0|202.5|0|4.901041666666667|0
0|2022-01-13|0.0|0|0.0|0|224.16666666666666|0|6.84375|0
0|2022-01-14|0.0|0|0.0|0|189.16666666666666|0|12.875|0
0|2022-01-15|0.0|0|0.0|0|329.21875|0|22.0625|0
0|2022-01-16|0.0|0|0.0|0|231.5625|0|5.270833333333333|0
0|2022-01-17|0.0|0|0.0|0|203.02083333333334|0|7.197916666666667|0
