|dates|Suffolk_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Suffolk_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Suffolk_Massachusetts_UnitedStates.Male_Total_Population.data|Suffolk_Massachusetts_UnitedStates.Male_Total_Population.missing|Suffolk_Massachusetts_UnitedStates.Female_Total_Population.data|Suffolk_Massachusetts_UnitedStates.Female_Total_Population.missing|Suffolk_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Suffolk_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-18|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-19|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-20|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-21|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-22|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-23|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-24|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-25|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-26|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-27|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-28|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-29|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-30|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-10-31|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-01|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-02|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-03|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-04|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-05|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-06|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-07|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-08|96651.0|0|390083.0|0|417169.0|0|134089.0|0
0|2021-11-09|96651.0|0|390083.0|0|417169.0|0|134089.0|0
